timestamp,total_asset,available_cash,position_value,total_pnl,pnl_pct,positions_json,signal_count,trade_count
2026-05-11 09:42:31,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 09:42:32,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 09:46:48,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 09:49:21,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 09:49:21,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 09:49:57,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 09:49:57,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 09:51:43,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 09:54:12,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:24:33,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:37:04,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:37:04,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:38:01,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:38:01,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:38:30,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:40:29,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:40:30,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:41:14,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:41:14,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 10:43:01,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 11:13:23,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 13:00:41,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 13:30:54,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 14:01:40,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-11 14:32:27,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-12 09:30:40,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-12 10:01:14,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-12 10:31:26,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-12 11:01:41,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-12 13:00:33,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-12 13:31:16,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-12 14:01:56,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-12 14:32:00,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-13 09:30:34,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-13 10:00:42,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-13 10:30:54,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-13 11:01:20,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-13 13:00:44,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-13 13:31:24,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-13 14:01:27,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-13 14:31:50,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-14 09:30:34,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-14 10:00:39,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-14 10:30:49,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-14 11:00:55,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-14 13:00:38,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-14 13:31:15,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-14 14:01:30,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-14 14:32:17,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-15 09:30:26,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-15 10:00:37,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-15 10:30:39,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-15 11:01:26,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-15 13:01:02,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-15 13:31:48,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-15 14:02:07,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-15 14:32:25,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-18 09:32:02,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-18 10:02:18,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-18 10:32:38,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
2026-05-20 10:38:53,400000.00,400000.00,0.00,0.00,0.0000,[],0,0
