date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-13,603131,23.02,22.54,23.15,22.48,67041,152687365.0,2.89,-2.63,-0.61,1.99
2026-03-16,603131,22.5,22.62,22.79,22.18,52195,117149589.0,2.71,0.35,0.08,1.55
2026-03-17,603131,22.69,21.85,22.75,21.85,59566,132484991.0,3.98,-3.4,-0.77,1.77
2026-03-18,603131,21.88,22.37,22.45,21.7,72329,160161511.0,3.43,2.38,0.52,2.15
2026-03-19,603131,21.99,21.73,22.19,21.64,61817,135307094.0,2.46,-2.86,-0.64,1.83
2026-03-20,603131,21.84,20.95,21.95,20.95,62927,134299066.0,4.6,-3.59,-0.78,1.87
2026-03-23,603131,20.49,19.95,21.05,19.77,86601,176501546.0,6.11,-4.77,-1.0,2.57
2026-03-24,603131,20.32,20.2,20.44,19.66,72487,145018312.0,3.91,1.25,0.25,2.15
2026-03-25,603131,20.2,20.35,20.48,20.08,63777,129879768.0,1.98,0.74,0.15,1.89
2026-03-26,603131,20.49,19.91,20.6,19.76,61824,124268100.0,4.13,-2.16,-0.44,1.84
2026-03-27,603131,19.58,20.11,20.2,19.53,49181,98227756.0,3.37,1.0,0.2,1.46
2026-03-30,603131,19.9,20.6,20.67,19.82,81981,167608589.0,4.23,2.44,0.49,2.43
2026-03-31,603131,20.61,20.68,21.31,20.55,94698,198457411.0,3.69,0.39,0.08,2.81
2026-04-01,603131,20.91,20.67,21.08,20.39,63222,130407385.0,3.34,-0.05,-0.01,1.88
2026-04-02,603131,20.51,20.25,20.78,20.15,48960,99874065.0,3.05,-2.03,-0.42,1.45
2026-04-03,603131,20.31,19.73,20.45,19.68,45834,91232059.0,3.8,-2.57,-0.52,1.36
2026-04-07,603131,19.73,20.1,20.19,19.58,50768,100942786.0,3.09,1.88,0.37,1.51
2026-04-08,603131,20.41,20.97,20.99,20.38,72646,150612258.0,3.03,4.33,0.87,2.16
2026-04-09,603131,20.77,20.69,20.96,20.53,50679,104881797.0,2.05,-1.34,-0.28,1.5
2026-04-10,603131,20.8,20.5,21.03,20.49,54145,112397421.0,2.61,-0.92,-0.19,1.61
2026-04-13,603131,20.36,20.56,20.65,20.34,52503,107737753.0,1.51,0.29,0.06,1.56
2026-04-14,603131,20.59,21.08,21.1,20.43,83614,174252163.0,3.26,2.53,0.52,2.48
2026-04-15,603131,21.17,20.96,21.5,20.95,82019,174230175.0,2.61,-0.57,-0.12,2.43
2026-04-16,603131,21.17,21.11,21.24,20.91,63265,133327740.0,1.57,0.72,0.15,1.88
2026-04-17,603131,21.04,21.19,21.33,20.94,60867,128636401.0,1.85,0.38,0.08,1.81
2026-04-20,603131,21.19,22.1,22.15,21.19,126379,275422851.0,4.53,4.29,0.91,3.75
2026-04-21,603131,22.19,22.05,22.3,21.81,115761,254774875.0,2.22,-0.23,-0.05,3.44
2026-04-22,603131,21.75,21.63,22.08,21.39,116813,253126318.0,3.13,-1.9,-0.42,3.47
2026-04-23,603131,21.5,21.06,21.6,20.96,83737,177576113.0,2.96,-2.64,-0.57,2.49
2026-04-24,603131,21.03,20.51,21.03,20.38,65455,134652031.0,3.09,-2.61,-0.55,1.94
2026-04-27,603131,20.39,20.52,20.6,19.92,65463,132836480.0,3.32,0.05,0.01,1.94
2026-04-28,603131,20.35,19.77,20.35,19.6,87838,174730563.0,3.65,-3.65,-0.75,2.61
2026-04-29,603131,19.77,20.47,20.58,19.77,83249,169956411.0,4.1,3.54,0.7,2.47
2026-04-30,603131,20.45,22.52,22.52,20.43,148314,324263358.0,10.21,10.01,2.05,4.4
2026-05-06,603131,23.67,23.87,24.62,23.33,399429,956922074.0,5.73,5.99,1.35,11.86
2026-05-07,603131,23.99,24.33,24.57,23.5,329196,795890263.0,4.48,1.93,0.46,9.77
2026-05-08,603131,23.87,25.05,25.48,23.8,413208,1022481984.0,6.91,2.96,0.72,12.26
2026-05-11,603131,25.15,24.79,25.3,24.36,303287,754536779.0,3.75,-1.04,-0.26,9.0
2026-05-12,603131,24.6,24.18,24.73,23.99,205557,498594097.0,2.99,-2.46,-0.61,6.1
2026-05-13,603131,23.88,24.19,24.36,23.78,144518,348021424.0,2.4,0.04,0.01,4.29
2026-05-14,603131,24.22,22.98,24.27,22.98,163265,382522993.0,5.33,-5.0,-1.21,4.85
2026-05-15,603131,23.0,23.03,23.68,22.79,128666,297886019.0,3.87,0.22,0.05,3.82
2026-05-18,603131,22.8,23.15,23.55,22.7,117566,272698312.0,3.69,0.52,0.12,3.49
2026-05-19,603131,23.19,23.16,23.49,22.88,121192,280616737.0,2.63,0.04,0.01,3.6
2026-05-20,603131,22.97,22.44,23.0,22.29,123040,276962265.0,3.07,-3.11,-0.72,3.65
2026-05-21,603131,22.57,21.6,22.7,21.44,131430,291395960.0,5.61,-3.74,-0.84,3.9
2026-05-22,603131,21.55,21.64,21.73,21.2,96043,206347095.0,2.45,0.19,0.04,2.85
2026-05-25,603131,21.7,21.33,21.97,21.04,86015,183903011.0,4.3,-1.43,-0.31,2.55
2026-05-26,603131,21.16,20.34,21.16,19.97,114777,233584369.0,5.58,-4.64,-0.99,3.41
2026-05-27,603131,20.3,19.73,20.47,19.62,92743,185186380.0,4.18,-3.0,-0.61,2.75
2026-05-28,603131,19.6,20.04,20.13,19.5,87976,175005943.0,3.19,1.57,0.31,2.61
2026-05-29,603131,20.0,18.81,20.15,18.7,113139,217609968.0,7.24,-6.14,-1.23,3.36
2026-06-01,603131,19.2,18.78,19.2,18.71,56036,105682650.0,2.6,-0.16,-0.03,1.66
2026-06-02,603131,18.75,18.51,18.78,17.93,78291,143963792.0,4.53,-1.44,-0.27,2.32
2026-06-03,603131,18.37,18.9,19.43,18.21,118724,224847999.0,6.59,2.11,0.39,3.52
2026-06-04,603131,18.58,18.72,18.99,18.52,68862,128883003.0,2.49,-0.95,-0.18,2.04
2026-06-05,603131,18.98,19.35,19.78,18.62,148740,286231100.0,6.2,3.37,0.63,4.41
2026-06-08,603131,18.88,18.67,19.7,18.54,114004,217609143.0,5.99,-3.51,-0.68,3.38
2026-06-09,603131,18.89,18.85,18.9,18.24,76964,142367169.0,3.54,0.96,0.18,2.28
2026-06-10,603131,18.61,18.39,19.16,18.02,83736,155060969.0,6.05,-2.44,-0.46,2.49
2026-06-11,603131,18.3,18.09,18.3,17.75,75826,136242412.0,2.99,-1.63,-0.3,2.25
2026-06-12,603131,18.39,18.66,19.11,18.3,111685,210051232.0,4.48,3.15,0.57,3.32
2026-06-15,603131,18.66,18.55,18.79,18.35,78215,144909154.0,2.36,-0.59,-0.11,2.32
2026-06-16,603131,18.62,18.31,18.9,18.25,77696,143413788.0,3.5,-1.29,-0.24,2.31
2026-06-17,603131,18.26,18.29,18.87,18.13,95442,176637210.0,4.04,-0.11,-0.02,2.83
2026-06-18,603131,18.15,18.5,18.63,17.95,90866,167251287.0,3.72,1.15,0.21,2.7
2026-06-22,603131,18.42,17.77,18.48,17.14,128426,225684334.0,7.24,-3.95,-0.73,3.81
2026-06-23,603131,17.6,17.42,17.79,17.33,64414,113160889.0,2.59,-1.97,-0.35,1.91
2026-06-24,603131,17.35,17.34,17.57,16.95,70226,120877402.0,3.56,-0.46,-0.08,2.08
2026-06-25,603131,17.3,16.84,17.37,16.66,81962,138180842.0,4.09,-2.88,-0.5,2.43
2026-06-26,603131,16.75,16.91,17.23,16.2,112177,188861933.0,6.12,0.42,0.07,3.33
2026-06-29,603131,16.72,16.55,16.86,16.11,96149,158053395.0,4.44,-2.13,-0.36,2.85
2026-06-30,603131,16.79,17.02,17.26,16.56,76010,129136294.0,4.23,2.84,0.47,2.26
2026-07-01,603131,16.97,18.72,18.72,16.97,140840,253916860.0,10.28,9.99,1.7,4.18
2026-07-02,603131,18.59,18.08,18.92,18.08,147108,272616257.0,4.49,-3.42,-0.64,4.37
2026-07-03,603131,18.25,18.9,19.15,18.1,166793,312119306.0,5.81,4.54,0.82,4.95
2026-07-06,603131,19.08,17.71,19.08,17.7,137488,250638491.0,7.3,-6.3,-1.19,4.08
2026-07-07,603131,17.5,17.25,18.12,17.15,95047,167718940.0,5.48,-2.6,-0.46,2.82
2026-07-08,603131,17.25,16.36,17.59,16.36,91533,153705304.0,7.13,-5.16,-0.89,2.72
2026-07-09,603131,16.32,16.46,16.59,16.18,17373,28375414.0,2.51,0.61,0.1,0.52
