date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,002625,42.01,40.72,42.19,40.7,222889,919272992.52,3.54,-3.14,-1.32,1.03
2026-03-23,002625,39.37,38.04,39.73,37.87,390868,1515660551.25,4.57,-6.58,-2.68,1.81
2026-03-24,002625,38.97,39.14,39.17,38.35,220790,855005662.44,2.16,2.89,1.1,1.02
2026-03-25,002625,39.28,40.05,40.27,39.18,190508,760886650.05,2.78,2.32,0.91,0.88
2026-03-26,002625,40.22,38.72,40.22,38.54,189063,740238911.76,4.19,-3.32,-1.33,0.88
2026-03-27,002625,38.35,39.04,39.22,38.22,127350,494702715.81,2.58,0.83,0.32,0.59
2026-03-30,002625,38.47,39.09,39.27,38.45,126114,491289789.84,2.1,0.13,0.05,0.59
2026-03-31,002625,38.97,38.35,39.56,38.32,149460,582391228.89,3.17,-1.89,-0.74,0.69
2026-04-01,002625,38.98,38.99,39.53,38.57,131556,512613073.26,2.5,1.67,0.64,0.61
2026-04-02,002625,38.96,37.76,38.97,37.67,180673,690735165.1,3.33,-3.15,-1.23,0.84
2026-04-03,002625,37.77,37.63,38.14,37.59,130741,495047221.7,1.46,-0.34,-0.13,0.61
2026-04-07,002625,37.61,37.32,37.86,37.09,112875,423082351.32,2.05,-0.82,-0.31,0.52
2026-04-08,002625,38.17,39.14,39.24,38.17,238234,926779830.86,2.87,4.88,1.82,1.11
2026-04-09,002625,38.67,38.11,38.75,37.9,197840,755440486.39,2.17,-2.63,-1.03,0.92
2026-04-10,002625,38.27,38.92,39.67,38.27,213570,835945052.71,3.67,2.13,0.81,0.99
2026-04-13,002625,38.72,38.77,39.04,37.97,230742,888738248.94,2.75,-0.39,-0.15,1.07
2026-04-14,002625,39.2,40.65,40.87,39.2,411592,1653709258.58,4.31,4.85,1.88,1.91
2026-04-15,002625,40.96,39.85,41.0,39.69,294662,1188818416.69,3.22,-1.97,-0.8,1.37
2026-04-16,002625,39.75,39.93,40.03,39.35,203050,806387909.85,1.71,0.2,0.08,0.94
2026-04-17,002625,39.93,39.84,40.05,39.41,168734,669806752.2,1.6,-0.23,-0.09,0.78
2026-04-20,002625,39.84,40.51,40.87,39.74,226720,920513393.59,2.84,1.68,0.67,1.05
2026-04-21,002625,40.63,40.15,40.85,39.89,166491,669205008.37,2.37,-0.89,-0.36,0.77
2026-04-22,002625,39.93,40.32,40.36,39.82,162400,652577823.32,1.34,0.42,0.17,0.75
2026-04-23,002625,40.27,39.81,40.76,39.36,201960,807050198.48,3.47,-1.26,-0.51,0.94
2026-04-24,002625,39.49,40.01,41.02,39.12,259905,1043843900.54,4.77,0.5,0.2,1.21
2026-04-27,002625,39.87,40.36,40.45,38.72,336792,1328989262.79,4.32,0.87,0.35,1.56
2026-04-28,002625,38.72,38.8,39.17,37.79,426030,1640509475.37,3.42,-3.87,-1.56,1.98
2026-04-29,002625,38.57,38.8,39.67,38.51,262644,1022280591.43,2.99,0.0,0.0,1.22
2026-04-30,002625,38.65,39.15,39.52,38.37,286155,1116000844.53,2.96,0.9,0.35,1.33
2026-05-06,002625,39.31,40.04,40.36,39.21,384982,1535874718.21,2.94,2.27,0.89,1.79
2026-05-07,002625,40.15,41.67,42.72,40.08,500386,2085451413.34,6.59,4.07,1.63,2.32
2026-05-08,002625,41.72,41.5,41.72,40.97,300314,1240758425.21,1.8,-0.41,-0.17,1.39
2026-05-11,002625,42.48,42.06,42.59,41.68,394188,1661440375.49,2.19,1.35,0.56,1.83
2026-05-12,002625,42.03,42.46,43.05,41.48,405645,1720816376.48,3.73,0.95,0.4,1.88
2026-05-13,002625,42.07,42.16,42.35,41.21,326090,1363517909.59,2.68,-0.71,-0.3,1.51
2026-05-14,002625,42.13,40.67,42.47,40.67,323907,1335514354.17,4.27,-3.53,-1.49,1.5
2026-05-15,002625,41.09,40.28,41.57,39.83,284357,1156587985.76,4.28,-0.96,-0.39,1.32
2026-05-18,002625,39.97,39.83,40.3,39.57,220367,879780913.93,1.81,-1.12,-0.45,1.02
