date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-13,603633,8.6,8.36,8.6,8.34,44218,37251309.0,3.08,-0.95,-0.08,1.04
2026-03-16,603633,8.26,8.4,8.41,8.26,48860,40833014.0,1.79,0.48,0.04,1.14
2026-03-17,603633,8.25,7.88,8.28,7.88,146514,118226791.0,4.76,-6.19,-0.52,3.43
2026-03-18,603633,7.9,8.27,8.36,7.9,147071,119542678.0,5.84,4.95,0.39,3.45
2026-03-19,603633,8.2,7.98,8.32,7.95,82422,66454723.0,4.47,-3.51,-0.29,1.93
2026-03-20,603633,7.99,7.8,8.08,7.8,70960,56207092.0,3.51,-2.26,-0.18,1.66
2026-03-23,603633,7.7,7.29,7.73,7.21,134990,100923868.0,6.67,-6.54,-0.51,3.16
2026-03-24,603633,7.5,7.63,7.65,7.3,102822,76846737.0,4.8,4.66,0.34,2.41
2026-03-25,603633,7.67,7.74,7.79,7.67,55533,42990593.0,1.57,1.44,0.11,1.3
2026-03-26,603633,7.72,7.54,7.86,7.5,83822,64077950.0,4.65,-2.58,-0.2,1.96
2026-03-27,603633,7.47,7.6,7.66,7.45,50735,38466543.0,2.79,0.8,0.06,1.19
2026-03-30,603633,7.51,7.67,7.68,7.47,61192,46576762.0,2.76,0.92,0.07,1.43
2026-03-31,603633,7.7,7.53,7.78,7.52,59700,45662464.0,3.39,-1.83,-0.14,1.4
2026-04-01,603633,7.65,7.65,7.75,7.56,59901,45765589.0,2.52,1.59,0.12,1.4
2026-04-02,603633,7.64,7.45,7.75,7.43,73642,55709471.0,4.18,-2.61,-0.2,1.73
2026-04-03,603633,7.52,7.25,7.52,7.23,58032,42412029.0,3.89,-2.68,-0.2,1.36
2026-04-07,603633,7.25,7.5,7.59,7.24,99269,73837207.0,4.83,3.45,0.25,2.33
2026-04-08,603633,7.6,7.77,7.78,7.55,83644,64233086.0,3.07,3.6,0.27,1.96
2026-04-09,603633,7.71,7.57,7.77,7.56,82553,63108661.0,2.7,-2.57,-0.2,1.93
2026-04-10,603633,7.6,7.72,7.88,7.6,109289,84894045.0,3.7,1.98,0.15,2.56
2026-04-13,603633,7.7,7.63,7.72,7.61,63298,48457277.0,1.42,-1.17,-0.09,1.48
2026-04-14,603633,7.68,7.71,7.72,7.54,73120,55672910.0,2.36,1.05,0.08,1.71
2026-04-15,603633,7.71,8.06,8.35,7.69,244707,196513501.0,8.56,4.54,0.35,5.73
2026-04-16,603633,8.04,8.16,8.18,7.9,225049,181193719.0,3.47,1.24,0.1,5.27
2026-04-17,603633,8.08,8.44,8.66,8.08,260712,220252457.0,7.11,3.43,0.28,6.11
2026-04-20,603633,8.52,8.61,8.63,8.34,181323,153735688.0,3.44,2.01,0.17,4.25
2026-04-21,603633,8.61,8.54,8.7,8.38,174951,148707479.0,3.72,-0.81,-0.07,4.1
2026-04-22,603633,8.47,8.89,9.08,8.45,345126,302553335.0,7.38,4.1,0.35,8.09
2026-04-23,603633,8.7,8.67,8.85,8.37,290014,249410116.0,5.4,-2.47,-0.22,6.79
2026-04-24,603633,8.59,8.39,8.66,8.37,115906,97838863.0,3.34,-3.23,-0.28,2.72
2026-04-27,603633,8.35,8.41,8.43,8.2,110138,91967562.0,2.74,0.24,0.02,2.58
