date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,300378,42.08,40.05,42.31,40.05,87256,358696538.0,5.39,-4.46,-1.87,3.24
2026-03-23,300378,39.14,36.98,39.47,36.67,134842,514450133.0,6.99,-7.67,-3.07,5.0
2026-03-24,300378,37.6,37.66,38.46,36.77,95378,357698659.0,4.57,1.84,0.68,3.54
2026-03-25,300378,37.77,38.16,38.64,37.68,91384,350788255.0,2.55,1.33,0.5,3.39
2026-03-26,300378,37.98,36.97,38.25,36.77,64118,240556666.0,3.88,-3.12,-1.19,2.38
2026-03-27,300378,36.38,37.48,37.58,36.18,76976,287133342.0,3.79,1.38,0.51,2.86
2026-03-30,300378,36.58,37.07,37.23,36.31,62272,230193184.0,2.45,-1.09,-0.41,2.31
2026-03-31,300378,36.98,36.88,37.86,36.8,71202,266128474.0,2.86,-0.51,-0.19,2.64
2026-04-01,300378,37.88,38.46,38.61,37.55,114309,437265408.0,2.87,4.28,1.58,4.24
2026-04-02,300378,39.03,38.33,39.03,37.83,114916,443129304.0,3.12,-0.34,-0.13,4.26
2026-04-03,300378,38.89,38.06,38.98,37.98,87117,335320358.0,2.61,-0.7,-0.27,3.23
2026-04-07,300378,38.04,37.78,38.44,37.33,75943,288526968.0,2.92,-0.74,-0.28,2.82
2026-04-08,300378,38.73,41.18,41.24,38.68,149215,602559674.0,6.78,9.0,3.4,5.54
2026-04-09,300378,40.48,40.17,40.68,40.13,90105,364705226.0,1.34,-2.45,-1.01,3.34
2026-04-10,300378,40.58,39.98,40.84,39.96,93359,378261364.0,2.19,-0.47,-0.19,3.46
2026-04-13,300378,39.55,39.67,40.06,39.45,76447,304536567.0,1.53,-0.78,-0.31,2.84
2026-04-14,300378,40.56,40.65,41.34,40.27,121175,494625083.0,2.7,2.47,0.98,4.5
2026-04-15,300378,41.24,39.74,41.24,39.58,92584,374370795.0,4.08,-2.24,-0.91,3.44
2026-04-16,300378,40.18,41.15,41.27,40.09,131440,537978781.0,2.97,3.55,1.41,4.88
2026-04-17,300378,40.82,40.85,41.01,40.51,82685,337748294.0,1.22,-0.73,-0.3,3.07
2026-04-20,300378,40.68,42.06,42.37,40.65,139738,586925158.0,4.21,2.96,1.21,5.18
2026-04-21,300378,41.87,41.34,41.87,40.88,92251,381661909.0,2.35,-1.71,-0.72,3.42
2026-04-22,300378,41.34,42.26,42.65,40.84,143284,600179893.0,4.38,2.23,0.92,5.32
2026-04-23,300378,42.26,41.24,42.73,40.74,136208,568112908.0,4.71,-2.41,-1.02,5.05
2026-04-24,300378,40.71,40.51,41.15,39.98,94318,383346080.0,2.84,-1.77,-0.73,3.5
2026-04-27,300378,40.38,40.76,41.11,39.78,91533,372553798.0,3.28,0.62,0.25,3.4
2026-04-28,300378,40.58,38.89,40.74,38.66,115698,455839756.0,5.1,-4.59,-1.87,4.29
2026-04-29,300378,38.46,39.14,39.46,38.38,87602,343970999.0,2.78,0.64,0.25,3.25
2026-04-30,300378,39.26,38.8,39.87,38.76,85830,337018252.0,2.84,-0.87,-0.34,3.18
2026-05-06,300378,39.67,40.94,41.9,39.58,161558,664544116.0,5.98,5.52,2.14,5.99
2026-05-07,300378,41.35,43.12,43.61,40.84,197646,837955391.0,6.77,5.32,2.18,7.33
2026-05-08,300378,43.68,43.28,44.36,42.72,204239,890089899.0,3.8,0.37,0.16,7.58
2026-05-11,300378,43.28,43.41,43.71,42.42,162316,701372822.0,2.98,0.3,0.13,6.02
2026-05-12,300378,43.04,42.06,43.22,41.91,110503,469840974.0,3.02,-3.11,-1.35,4.1
2026-05-13,300378,41.91,42.67,42.73,41.49,103849,439966712.0,2.95,1.45,0.61,3.85
2026-05-14,300378,42.64,38.89,42.64,38.89,219459,881698914.0,8.79,-8.86,-3.78,8.14
2026-05-15,300378,38.99,39.38,40.68,38.91,137124,545472768.0,4.55,1.26,0.49,5.09
2026-05-18,300378,39.25,41.24,41.85,38.95,152446,622847200.0,7.36,4.72,1.86,5.66
2026-05-19,300378,41.54,42.95,43.63,41.24,181531,779488032.0,5.8,4.15,1.71,6.74
2026-05-20,300378,42.49,42.14,43.08,41.72,125737,531627683.0,3.17,-1.89,-0.81,4.67
2026-05-21,300378,42.68,40.05,42.77,39.88,138834,578046955.0,6.86,-4.96,-2.09,5.15
2026-05-22,300378,40.06,40.41,40.84,39.38,94423,379763405.0,3.65,0.9,0.36,3.5
2026-05-25,300378,40.51,39.99,41.66,39.4,107964,437119341.0,5.59,-1.04,-0.42,4.01
2026-05-26,300378,39.58,38.38,39.58,37.58,126737,488203996.0,5.0,-4.03,-1.61,4.7
2026-05-27,300378,38.38,37.03,38.94,36.8,101283,384164872.0,5.58,-3.52,-1.35,3.76
2026-05-28,300378,36.98,36.5,37.07,35.1,120453,435427899.0,5.32,-1.43,-0.53,4.47
2026-05-29,300378,37.3,35.09,38.16,34.82,108690,395553287.0,9.15,-3.86,-1.41,4.03
2026-06-01,300378,35.88,40.27,41.74,35.88,308548,1213338121.0,16.7,14.76,5.18,11.45
2026-06-02,300378,40.48,38.65,40.48,38.29,159878,625861452.0,5.44,-4.02,-1.62,5.93
2026-06-03,300378,38.46,37.85,38.79,37.38,143125,544953540.0,3.65,-2.07,-0.8,5.31
2026-06-04,300378,36.08,36.02,36.75,35.11,156263,561514753.0,4.33,-4.83,-1.83,5.8
2026-06-05,300378,36.45,35.88,36.98,35.0,122866,442280315.0,5.5,-0.39,-0.14,4.56
