date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-13,300278,5.29,5.24,5.36,5.2,193824,102487903.0,3.01,-1.32,-0.07,1.38
2026-03-16,300278,5.22,5.26,5.27,5.19,145927,76346355.0,1.53,0.38,0.02,1.04
2026-03-17,300278,5.27,5.12,5.29,5.12,185326,96504534.0,3.23,-2.66,-0.14,1.31
2026-03-18,300278,5.14,5.17,5.17,5.08,152944,78365154.0,1.76,0.98,0.05,1.09
2026-03-19,300278,5.1,4.99,5.12,4.98,193189,97458699.0,2.71,-3.48,-0.18,1.37
2026-03-20,300278,5.01,4.83,5.04,4.81,199780,98083453.0,4.61,-3.21,-0.16,1.42
2026-03-23,300278,4.76,4.53,4.8,4.5,308509,143551039.0,6.21,-6.21,-0.3,2.19
2026-03-24,300278,4.63,4.67,4.68,4.53,221677,102047975.0,3.31,3.09,0.14,1.57
2026-03-25,300278,4.68,4.72,4.73,4.67,226691,106659700.0,1.28,1.07,0.05,1.61
2026-03-26,300278,4.72,4.57,4.75,4.54,232341,107713358.0,4.45,-3.18,-0.15,1.65
2026-03-27,300278,4.51,4.66,4.67,4.5,177780,82033026.0,3.72,1.97,0.09,1.26
2026-03-30,300278,4.6,4.66,4.67,4.56,132565,61299423.0,2.36,0.0,0.0,0.94
2026-03-31,300278,4.69,4.58,4.72,4.58,162075,75421125.0,3.0,-1.72,-0.08,1.15
2026-04-01,300278,4.7,4.68,4.75,4.62,159680,74597516.0,2.84,2.18,0.1,1.13
2026-04-02,300278,4.66,4.55,4.68,4.51,155248,71178188.0,3.63,-2.78,-0.13,1.1
2026-04-03,300278,4.56,4.4,4.58,4.4,165954,73861710.0,3.96,-3.3,-0.15,1.18
2026-04-07,300278,4.44,4.49,4.49,4.4,131390,58559935.0,2.05,2.05,0.09,0.93
2026-04-08,300278,4.58,4.74,4.75,4.58,209185,97669544.0,3.79,5.57,0.25,1.48
2026-04-09,300278,4.69,4.59,4.7,4.58,173951,80443353.0,2.53,-3.16,-0.15,1.23
2026-04-10,300278,4.64,4.61,4.72,4.61,158669,73872183.0,2.4,0.44,0.02,1.13
2026-04-13,300278,4.56,4.62,4.64,4.56,111434,51399151.0,1.74,0.22,0.01,0.79
2026-04-14,300278,4.65,4.61,4.67,4.56,163648,75239750.0,2.38,-0.22,-0.01,1.16
2026-04-15,300278,4.64,4.51,4.65,4.49,175935,80107711.0,3.47,-2.17,-0.1,1.25
2026-04-16,300278,4.53,4.62,4.63,4.49,207116,94704774.0,3.1,2.44,0.11,1.47
2026-04-17,300278,4.6,4.66,4.75,4.48,381299,175063233.0,5.84,0.87,0.04,2.71
