date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-13,300661,74.41,72.53,74.68,72.26,204020,1496127943.0,3.24,-2.77,-2.07,3.43
2026-03-16,300661,73.1,77.12,78.25,72.1,358596,2729942806.0,8.48,6.33,4.59,6.03
2026-03-17,300661,76.91,73.8,77.13,73.48,227711,1714505371.0,4.73,-4.3,-3.32,3.83
2026-03-18,300661,74.81,73.18,74.81,72.3,157226,1152725070.0,3.4,-0.84,-0.62,2.64
2026-03-19,300661,71.72,70.71,71.96,69.72,157776,1119157234.0,3.06,-3.38,-2.47,2.65
2026-03-20,300661,71.33,71.1,75.18,70.97,234002,1708822682.0,5.95,0.55,0.39,3.93
2026-03-23,300661,69.87,70.19,73.26,68.71,248687,1758566906.0,6.4,-1.28,-0.91,4.18
2026-03-24,300661,71.23,68.6,71.38,66.6,215193,1472438132.0,6.81,-2.27,-1.59,3.62
2026-03-25,300661,69.63,72.8,76.82,68.9,365924,2716511282.0,11.55,6.12,4.2,6.15
2026-03-26,300661,73.24,71.91,74.54,71.14,191796,1397437030.0,4.67,-1.22,-0.89,3.22
2026-03-27,300661,70.68,71.07,72.42,69.1,171008,1218102390.0,4.62,-1.17,-0.84,2.87
2026-03-30,300661,68.8,70.9,73.48,67.94,246647,1735174011.0,7.8,-0.24,-0.17,4.14
2026-03-31,300661,70.66,67.43,71.0,67.3,186189,1286220284.0,5.22,-4.89,-3.47,3.13
2026-04-01,300661,69.47,70.31,72.43,69.4,260691,1856093960.0,4.49,4.27,2.88,4.38
2026-04-02,300661,70.3,67.25,70.8,66.67,184652,1263779587.0,5.87,-4.35,-3.06,3.08
2026-04-03,300661,68.0,67.96,68.92,67.1,149809,1022074960.0,2.71,1.06,0.71,2.5
2026-04-07,300661,68.7,71.75,72.8,68.7,292873,2099789283.0,6.03,5.58,3.79,4.89
2026-04-08,300661,73.85,76.47,76.76,72.61,351751,2642465709.0,5.78,6.58,4.72,5.87
