date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,300598,40.5,39.31,41.36,39.29,52960,213134571.0,5.13,-2.55,-1.03,2.44
2026-03-23,300598,37.96,36.7,38.7,36.45,57055,213954178.0,5.72,-6.64,-2.61,2.63
2026-03-24,300598,37.5,37.48,37.6,36.66,32640,121209152.0,2.56,2.13,0.78,1.5
2026-03-25,300598,37.54,38.0,38.36,37.48,32228,122678126.0,2.35,1.39,0.52,1.49
2026-03-26,300598,37.8,36.85,38.13,36.75,33014,123161487.0,3.63,-3.03,-1.15,1.52
2026-03-27,300598,36.46,37.21,37.5,36.35,23979,89044858.0,3.12,0.98,0.36,1.11
2026-03-30,300598,36.27,37.23,37.28,36.13,31591,116089576.0,3.09,0.05,0.02,1.46
2026-03-31,300598,37.22,36.55,37.67,36.45,25843,95713123.0,3.28,-1.83,-0.68,1.19
2026-04-01,300598,37.2,37.5,37.56,37.08,30744,114748363.0,1.31,2.6,0.95,1.42
2026-04-02,300598,37.39,36.37,37.7,36.2,30706,112647425.0,4.0,-3.01,-1.13,1.42
2026-04-03,300598,36.55,35.66,36.67,35.54,25018,89895568.0,3.11,-1.95,-0.71,1.15
2026-04-07,300598,35.82,36.2,36.36,35.68,18537,67076872.0,1.91,1.51,0.54,0.85
2026-04-08,300598,37.0,38.25,38.26,37.0,47714,180011960.0,3.48,5.66,2.05,2.2
2026-04-09,300598,37.8,37.16,38.0,37.06,33784,126288657.0,2.46,-2.85,-1.09,1.56
2026-04-10,300598,37.51,37.41,37.86,37.4,29686,111690537.0,1.24,0.67,0.25,1.37
2026-04-13,300598,37.05,37.26,37.55,36.88,23485,87671553.0,1.79,-0.4,-0.15,1.08
2026-04-14,300598,38.24,37.74,38.4,37.37,29058,109559131.0,2.76,1.29,0.48,1.34
2026-04-15,300598,37.95,37.22,37.99,37.16,27133,101846184.0,2.2,-1.38,-0.52,1.25
2026-04-16,300598,37.32,37.94,38.19,37.32,35673,134937888.0,2.34,1.93,0.72,1.64
2026-04-17,300598,37.77,37.58,37.94,37.27,28551,107182614.0,1.77,-0.95,-0.36,1.32
2026-04-20,300598,37.6,37.95,38.3,37.55,32130,122286336.0,2.0,0.98,0.37,1.48
2026-04-21,300598,37.6,36.71,37.6,36.36,51378,188696973.0,3.27,-3.27,-1.24,2.37
2026-04-22,300598,36.58,38.19,38.8,36.42,96062,365570531.0,6.48,4.03,1.48,4.43
