date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,300472,8.31,8.37,8.48,8.1,75998,63229011.0,4.59,1.21,0.1,3.09
2026-03-23,300472,8.4,7.73,8.4,7.6,94219,75189781.0,9.56,-7.65,-0.64,3.83
2026-03-24,300472,7.79,7.89,8.08,7.75,48062,38006183.0,4.27,2.07,0.16,1.95
2026-03-25,300472,7.8,8.21,8.29,7.8,71225,57862194.0,6.21,4.06,0.32,2.9
2026-03-26,300472,8.21,8.04,8.27,7.96,59840,48679162.0,3.78,-2.07,-0.17,2.43
2026-03-27,300472,8.05,8.12,8.13,7.97,33463,26993614.0,1.99,1.0,0.08,1.36
2026-03-30,300472,7.95,8.35,8.5,7.95,94785,78901703.0,6.77,2.83,0.23,3.85
2026-03-31,300472,8.3,8.59,8.95,8.3,121826,105239755.0,7.78,2.87,0.24,4.95
2026-04-01,300472,8.68,8.77,8.8,8.45,89050,76976889.0,4.07,2.1,0.18,3.62
2026-04-02,300472,8.38,8.05,8.38,7.92,114994,93670775.0,5.25,-8.21,-0.72,4.68
2026-04-03,300472,8.08,7.84,8.2,7.7,65805,51986985.0,6.21,-2.61,-0.21,2.68
2026-04-07,300472,7.9,7.85,7.95,7.77,39065,30617236.0,2.3,0.13,0.01,1.59
2026-04-08,300472,7.9,7.81,7.95,7.67,87620,68239551.0,3.57,-0.51,-0.04,3.56
2026-04-09,300472,7.81,7.61,7.81,7.59,51162,39220127.0,2.82,-2.56,-0.2,2.08
2026-04-10,300472,7.62,7.86,8.03,7.62,79207,62307022.0,5.39,3.29,0.25,3.22
2026-04-13,300472,7.85,7.87,7.95,7.81,43561,34285853.0,1.78,0.13,0.01,1.77
2026-04-14,300472,7.89,8.22,8.38,7.84,87593,71206264.0,6.86,4.45,0.35,3.56
2026-04-15,300472,8.22,8.2,8.33,8.11,50162,41062794.0,2.68,-0.24,-0.02,2.04
2026-04-16,300472,8.27,8.07,8.27,8.05,51061,41337771.0,2.68,-1.59,-0.13,2.08
2026-04-17,300472,8.04,8.0,8.19,8.0,35464,28523355.0,2.35,-0.87,-0.07,1.44
2026-04-20,300472,8.0,8.25,8.29,7.93,70873,57981410.0,4.5,3.13,0.25,2.88
2026-04-21,300472,8.19,8.45,8.63,8.19,82248,69789849.0,5.33,2.42,0.2,3.34
2026-04-22,300472,8.39,8.25,8.55,8.21,69989,58700768.0,4.02,-2.37,-0.2,2.85
2026-04-23,300472,8.23,8.22,8.45,8.11,55868,46029351.0,4.12,-0.36,-0.03,2.27
2026-04-24,300472,8.27,8.55,8.61,8.2,106950,90108403.0,4.99,4.01,0.33,4.35
2026-04-27,300472,8.68,8.25,8.75,8.22,98576,82544730.0,6.2,-3.51,-0.3,4.01
2026-04-28,300472,8.18,8.18,8.42,8.08,46535,38086409.0,4.12,-0.85,-0.07,1.89
2026-04-29,300472,8.16,8.09,8.27,8.06,55244,44909735.0,2.57,-1.1,-0.09,2.25
2026-04-30,300472,8.15,8.12,8.2,8.06,34772,28212861.0,1.73,0.37,0.03,1.41
2026-05-06,300472,8.11,8.4,8.5,8.07,80165,66542717.0,5.3,3.45,0.28,3.26
2026-05-07,300472,8.38,8.38,8.51,8.28,59398,49820352.0,2.74,-0.24,-0.02,2.42
2026-05-08,300472,8.4,8.56,8.7,8.37,89926,76870423.0,3.94,2.15,0.18,3.66
2026-05-11,300472,8.56,9.04,9.33,8.53,125366,111288227.0,9.35,5.61,0.48,5.1
2026-05-12,300472,9.04,8.86,9.33,8.78,117866,106981978.0,6.08,-1.99,-0.18,4.79
2026-05-13,300472,8.76,9.08,9.19,8.75,70378,63617128.0,4.97,2.48,0.22,2.86
2026-05-14,300472,9.1,9.23,9.27,9.0,76907,70534265.0,2.97,1.65,0.15,3.13
2026-05-15,300472,9.23,9.43,9.79,9.2,115450,109753291.0,6.39,2.17,0.2,4.69
2026-05-18,300472,9.5,9.27,9.55,9.1,81444,75303720.0,4.77,-1.7,-0.16,3.31
2026-05-19,300472,9.27,9.11,9.41,9.02,46251,42392369.0,4.21,-1.73,-0.16,1.88
2026-05-20,300472,9.15,9.13,9.18,9.01,45468,41220571.0,1.87,0.22,0.02,1.85
2026-05-21,300472,9.1,9.07,9.42,9.05,53300,48708263.0,4.05,-0.66,-0.06,2.17
2026-05-22,300472,8.96,9.13,9.18,8.96,34947,31787146.0,2.43,0.66,0.06,1.42
2026-05-25,300472,9.0,8.57,9.0,8.03,120008,102729108.0,10.62,-6.13,-0.56,4.88
2026-05-26,300472,8.55,8.9,8.91,8.37,74662,64202237.0,6.3,3.85,0.33,3.04
2026-05-27,300472,9.0,8.34,9.13,8.17,92427,78314091.0,10.79,-6.29,-0.56,3.76
2026-05-28,300472,8.35,8.24,8.49,8.2,40610,33703227.0,3.48,-1.2,-0.1,1.65
2026-05-29,300472,8.3,8.2,8.4,8.13,40942,33845709.0,3.28,-0.49,-0.04,1.66
2026-06-01,300472,8.23,8.54,8.65,8.23,51112,43347158.0,5.12,4.15,0.34,2.08
2026-06-02,300472,8.55,8.5,8.6,8.2,37916,31854186.0,4.68,-0.47,-0.04,1.54
2026-06-03,300472,8.48,8.37,8.59,8.28,34064,28505958.0,3.65,-1.53,-0.13,1.39
2026-06-04,300472,8.45,8.27,8.52,8.23,33657,27970979.0,3.46,-1.19,-0.1,1.37
2026-06-05,300472,8.28,8.15,8.33,8.03,32687,26618061.0,3.63,-1.45,-0.12,1.33
2026-06-08,300472,8.15,8.02,8.22,7.7,36062,28915013.0,6.38,-1.6,-0.13,1.47
2026-06-09,300472,8.1,7.86,8.14,7.85,37956,30193880.0,3.62,-2.0,-0.16,1.54
2026-06-10,300472,7.83,8.23,8.65,7.83,57097,47305282.0,10.43,4.71,0.37,2.32
2026-06-11,300472,8.2,8.02,8.24,7.91,33962,27200200.0,4.01,-2.55,-0.21,1.38
2026-06-12,300472,7.9,8.28,8.3,7.9,33167,27039007.0,4.99,3.24,0.26,1.35
2026-06-15,300472,8.29,8.2,8.3,7.96,36073,29349333.0,4.11,-0.97,-0.08,1.47
2026-06-16,300472,8.19,8.01,8.19,8.0,42957,34541336.0,2.32,-2.32,-0.19,1.75
2026-06-17,300472,8.02,7.98,8.1,7.83,42308,33484978.0,3.37,-0.37,-0.03,1.72
2026-06-18,300472,7.99,7.75,8.0,7.71,37582,29264450.0,3.63,-2.88,-0.23,1.53
2026-06-22,300472,7.88,8.2,8.3,7.78,57084,46448217.0,6.71,5.81,0.45,2.32
2026-06-23,300472,8.15,7.92,8.32,7.92,51996,41851773.0,4.88,-3.41,-0.28,2.11
2026-06-24,300472,7.9,7.69,7.92,7.65,53105,41167344.0,3.41,-2.9,-0.23,2.16
2026-06-25,300472,7.69,7.37,7.69,7.33,54208,40603734.0,4.68,-4.16,-0.32,2.2
2026-06-26,300472,7.37,7.65,7.95,7.35,53276,41015039.0,8.14,3.8,0.28,2.17
2026-06-29,300472,7.65,7.61,8.0,7.51,45292,34927151.0,6.41,-0.52,-0.04,1.84
2026-06-30,300472,7.45,7.44,7.71,7.25,51010,37640251.0,6.04,-2.23,-0.17,2.07
2026-07-01,300472,7.02,6.82,7.18,6.38,149484,101710173.0,10.75,-8.33,-0.62,6.08
2026-07-02,300472,6.6,6.97,7.22,6.5,90975,62928277.0,10.56,2.2,0.15,3.7
2026-07-03,300472,7.02,7.23,7.3,6.77,68103,48209368.0,7.6,3.73,0.26,2.77
2026-07-06,300472,7.15,6.73,7.35,6.72,55162,38353046.0,8.71,-6.92,-0.5,2.24
2026-07-07,300472,6.65,6.6,6.84,6.58,31282,20936864.0,3.86,-1.93,-0.13,1.27
2026-07-08,300472,6.61,6.63,6.8,6.54,30854,20535230.0,3.94,0.45,0.03,1.25
2026-07-09,300472,6.58,6.54,6.64,6.5,27648,18129413.0,2.11,-1.36,-0.09,1.12
2026-07-10,300472,6.52,6.54,6.65,6.35,28404,18419727.0,4.59,0.0,0.0,1.15
2026-07-13,300472,6.53,6.17,6.54,6.15,41852,26120597.0,5.96,-5.66,-0.37,1.7
2026-07-14,300472,6.17,6.21,6.28,6.03,32916,20376626.0,4.05,0.65,0.04,1.34
2026-07-15,300472,6.03,6.26,6.45,6.03,51229,31694601.0,6.76,0.81,0.05,2.08
