date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,301332,9.28,8.95,9.31,8.95,27850,25726685.0,3.9,-3.03,-0.28,1.05
2026-03-23,301332,8.91,8.45,8.91,8.4,44710,39078117.0,5.7,-5.59,-0.5,1.69
2026-03-24,301332,8.62,8.79,8.81,8.49,31482,27757738.0,3.79,4.02,0.34,1.19
2026-03-25,301332,8.82,8.93,8.99,8.8,23478,21299834.0,2.16,1.59,0.14,0.89
2026-03-26,301332,8.93,8.89,9.08,8.84,25180,22897396.0,2.69,-0.45,-0.04,0.95
2026-03-27,301332,8.85,8.97,9.0,8.75,31122,28203585.0,2.81,0.9,0.08,1.18
2026-03-30,301332,8.84,9.04,9.05,8.84,24989,22816348.0,2.34,0.78,0.07,0.94
2026-03-31,301332,9.06,8.98,9.16,8.97,22084,20383762.0,2.1,-0.66,-0.06,0.83
2026-04-01,301332,9.13,9.09,9.13,8.99,21402,19761815.0,1.56,1.22,0.11,0.81
2026-04-02,301332,9.12,8.99,9.16,8.89,25542,23450938.0,2.97,-1.1,-0.1,0.96
2026-04-03,301332,9.0,8.74,9.03,8.71,18275,16386777.0,3.56,-2.78,-0.25,0.69
2026-04-07,301332,8.75,8.89,8.96,8.74,14815,13372795.0,2.52,1.72,0.15,0.56
2026-04-08,301332,9.03,9.15,9.15,8.98,20885,19345761.0,1.91,2.92,0.26,0.79
2026-04-09,301332,9.16,9.09,9.19,9.04,18468,17084742.0,1.64,-0.66,-0.06,0.7
2026-04-10,301332,9.13,9.18,9.24,9.09,18730,17509218.0,1.65,0.99,0.09,0.71
2026-04-13,301332,9.18,9.16,9.21,9.11,16610,15450619.0,1.09,-0.22,-0.02,0.63
2026-04-14,301332,9.27,9.2,9.29,9.14,14588,13620635.0,1.64,0.44,0.04,0.55
2026-04-15,301332,9.24,9.15,9.24,9.15,16208,15141209.0,0.98,-0.54,-0.05,0.61
2026-04-16,301332,9.21,9.23,9.26,9.1,22419,20955393.0,1.75,0.87,0.08,0.85
2026-04-17,301332,9.24,9.2,9.25,9.13,13744,12807088.0,1.3,-0.33,-0.03,0.52
2026-04-20,301332,9.21,9.22,9.23,9.12,17118,15968529.0,1.2,0.22,0.02,0.65
2026-04-21,301332,9.22,9.26,9.27,9.18,20863,19562550.0,0.98,0.43,0.04,0.79
2026-04-22,301332,9.26,9.18,9.26,9.12,15476,14424298.0,1.51,-0.86,-0.08,0.58
2026-04-23,301332,9.15,9.12,9.19,9.08,19959,18518405.0,1.2,-0.65,-0.06,0.75
2026-04-24,301332,9.13,9.14,9.18,9.0,24385,22507659.0,1.97,0.22,0.02,0.92
2026-04-27,301332,9.25,9.33,9.34,9.03,33906,31749019.0,3.39,2.08,0.19,1.28
2026-04-28,301332,9.35,9.3,9.42,9.26,32887,31134269.0,1.71,-0.32,-0.03,1.24
2026-04-29,301332,9.31,9.26,9.34,9.18,36749,34675097.0,1.72,-0.43,-0.04,1.39
2026-04-30,301332,9.24,9.21,9.29,9.19,25227,23669487.0,1.08,-0.54,-0.05,0.95
2026-05-06,301332,9.24,9.29,9.33,9.21,25558,24122583.0,1.3,0.87,0.08,0.97
2026-05-07,301332,9.32,9.31,9.43,9.27,29123,27727215.0,1.72,0.22,0.02,1.1
2026-05-08,301332,9.31,9.69,9.93,9.26,91102,89065908.0,7.2,4.08,0.38,3.44
2026-05-11,301332,9.64,9.56,9.85,9.48,73625,71393593.0,3.82,-1.34,-0.13,2.78
2026-05-12,301332,9.62,9.35,9.62,9.32,47255,45181931.0,3.14,-2.2,-0.21,1.78
2026-05-13,301332,9.48,9.35,9.49,9.31,30528,29059224.0,1.93,0.0,0.0,1.15
2026-05-14,301332,9.37,9.17,9.43,9.09,39705,37076350.0,3.64,-1.93,-0.18,1.5
2026-05-15,301332,9.11,9.1,9.28,9.07,31765,29585806.0,2.29,-0.76,-0.07,1.2
2026-05-18,301332,9.06,9.07,9.11,8.93,28469,26090981.0,1.98,-0.33,-0.03,1.07
2026-05-19,301332,9.09,9.17,9.22,9.07,26156,24345043.0,1.65,1.1,0.1,0.99
2026-05-20,301332,9.17,8.99,9.17,8.94,27669,25297645.0,2.51,-1.96,-0.18,1.04
2026-05-21,301332,8.99,8.77,9.13,8.77,28208,25681988.0,4.0,-2.45,-0.22,1.07
2026-05-22,301332,8.89,8.87,8.94,8.76,23323,20973521.0,2.05,1.14,0.1,0.88
2026-05-25,301332,8.9,8.73,8.91,8.65,24630,21915008.0,2.93,-1.58,-0.14,0.93
2026-05-26,301332,8.79,8.6,8.79,8.45,31752,27644532.0,3.89,-1.49,-0.13,1.2
2026-05-27,301332,8.57,8.47,8.63,8.4,28662,24685376.0,2.67,-1.51,-0.13,1.08
2026-05-28,301332,8.47,8.72,8.88,8.41,43949,38603518.0,5.55,2.95,0.25,1.66
2026-05-29,301332,8.81,8.55,8.81,8.5,33228,29091620.0,3.56,-1.95,-0.17,1.25
2026-06-01,301332,8.54,8.67,8.7,8.48,22994,20198297.0,2.57,1.4,0.12,0.87
2026-06-02,301332,8.67,8.5,8.69,8.46,22656,19672663.0,2.65,-1.96,-0.17,0.86
2026-06-03,301332,8.54,8.33,8.54,8.3,23495,20052616.0,2.82,-2.0,-0.17,0.89
2026-06-04,301332,8.34,8.19,8.37,8.08,22805,18958066.0,3.48,-1.68,-0.14,0.86
2026-06-05,301332,8.24,8.35,8.43,8.16,22365,18547380.0,3.3,1.95,0.16,0.84
2026-06-08,301332,8.2,8.41,8.63,8.18,39415,33304768.0,5.39,0.72,0.06,1.49
2026-06-09,301332,8.41,8.73,8.78,8.3,46822,40236681.0,5.71,3.8,0.32,1.77
2026-06-10,301332,8.69,8.75,9.16,8.62,44967,39997001.0,6.19,0.23,0.02,1.7
2026-06-11,301332,8.66,8.54,8.88,8.49,24575,21260497.0,4.46,-2.4,-0.21,0.93
2026-06-12,301332,8.58,8.51,8.63,8.43,26159,22310003.0,2.34,-0.35,-0.03,0.99
2026-06-15,301332,8.55,8.49,8.64,8.43,22874,19494434.0,2.47,-0.24,-0.02,0.86
2026-06-16,301332,8.47,8.34,8.5,8.29,24895,20769686.0,2.47,-1.77,-0.15,0.94
2026-06-17,301332,8.3,8.2,8.35,8.14,22250,18292103.0,2.52,-1.68,-0.14,0.84
2026-06-18,301332,8.17,8.23,8.25,8.08,16357,13375297.0,2.07,0.37,0.03,0.62
2026-06-22,301332,8.25,8.18,8.26,8.01,22790,18432335.0,3.04,-0.61,-0.05,0.86
2026-06-23,301332,8.15,8.27,8.36,8.13,21366,17719898.0,2.81,1.1,0.09,0.81
2026-06-24,301332,8.26,8.04,8.35,7.95,21657,17472210.0,4.84,-2.78,-0.23,0.82
2026-06-25,301332,7.88,7.71,7.9,7.58,42401,32720931.0,3.98,-4.1,-0.33,1.6
2026-06-26,301332,7.63,7.53,7.68,7.45,25817,19527814.0,2.98,-2.33,-0.18,0.97
2026-06-29,301332,7.54,7.55,7.67,7.33,25045,18794561.0,4.52,0.27,0.02,0.95
2026-06-30,301332,7.59,7.65,7.72,7.46,16033,12218392.0,3.44,1.32,0.1,0.61
2026-07-01,301332,7.67,7.79,7.85,7.58,19921,15426926.0,3.53,1.83,0.14,0.75
2026-07-02,301332,7.78,7.76,7.94,7.76,18402,14441058.0,2.31,-0.39,-0.03,0.69
2026-07-03,301332,7.76,8.05,8.09,7.76,29171,23346777.0,4.25,3.74,0.29,1.1
