date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,002474,8.12,7.79,8.21,7.78,212138,168342036.58,5.3,-4.06,-0.33,4.01
2026-03-23,002474,7.6,7.42,7.89,7.34,286499,216701550.2,7.06,-4.75,-0.37,5.42
2026-03-24,002474,7.53,7.7,7.72,7.44,202902,153796128.0,3.77,3.77,0.28,3.84
2026-03-25,002474,7.71,7.84,7.86,7.69,160437,125325789.0,2.21,1.82,0.14,3.03
2026-03-26,002474,7.82,7.58,7.88,7.56,154412,118475749.0,4.08,-3.32,-0.26,2.92
2026-03-27,002474,7.47,7.7,7.73,7.42,113792,87182943.24,4.09,1.58,0.12,2.15
2026-03-30,002474,7.64,7.82,7.85,7.55,136953,105997860.32,3.9,1.56,0.12,2.59
2026-03-31,002474,7.78,7.72,7.94,7.71,124376,97419074.99,2.94,-1.28,-0.1,2.35
2026-04-01,002474,7.87,7.74,7.88,7.68,115563,89591582.0,2.59,0.26,0.02,2.19
2026-04-02,002474,7.67,7.56,7.73,7.51,103613,78817431.0,2.84,-2.33,-0.18,1.96
2026-04-03,002474,7.62,7.31,7.62,7.28,119550,88166744.22,4.5,-3.31,-0.25,2.26
2026-04-07,002474,7.31,7.44,7.47,7.31,101755,75397733.47,2.19,1.78,0.13,1.92
2026-04-08,002474,7.59,7.88,7.88,7.59,199778,155320196.56,3.9,5.91,0.44,3.78
2026-04-09,002474,7.81,7.62,7.85,7.6,134387,103230413.0,3.17,-3.3,-0.26,2.54
2026-04-10,002474,7.69,7.66,7.78,7.66,98275,75895238.1,1.57,0.52,0.04,1.86
2026-04-13,002474,7.65,7.65,7.7,7.58,102047,78091279.0,1.57,-0.13,-0.01,1.93
2026-04-14,002474,7.69,7.68,7.93,7.59,131234,100847589.0,4.44,0.39,0.03,2.48
2026-04-15,002474,7.72,7.5,7.75,7.47,148670,112518414.6,3.65,-2.34,-0.18,2.81
2026-04-16,002474,7.5,7.65,7.68,7.49,136885,104093859.0,2.53,2.0,0.15,2.59
2026-04-17,002474,7.61,7.5,7.61,7.44,138820,104058977.0,2.22,-1.96,-0.15,2.63
2026-04-20,002474,7.48,7.49,7.58,7.45,154006,115474607.5,1.73,-0.13,-0.01,2.91
2026-04-21,002474,7.46,7.32,7.47,7.25,199939,146395217.55,2.94,-2.27,-0.17,3.78
2026-04-22,002474,7.29,7.31,7.35,7.18,161050,116807696.8,2.32,-0.14,-0.01,3.05
2026-04-23,002474,7.28,7.23,7.35,7.19,124570,90434621.05,2.19,-1.09,-0.08,2.36
2026-04-24,002474,7.2,7.05,7.25,6.82,319347,222482764.62,5.95,-2.49,-0.18,6.04
2026-04-27,002474,7.02,7.28,7.31,6.97,206518,148026062.0,4.82,3.26,0.23,3.91
2026-04-28,002474,7.34,7.27,7.72,7.17,289607,212343476.8,7.55,-0.14,-0.01,5.48
2026-04-29,002474,7.25,7.37,7.43,7.18,196080,144484152.66,3.44,1.38,0.1,3.71
2026-04-30,002474,7.37,7.37,7.41,7.32,130862,96392448.45,1.22,0.0,0.0,2.47
2026-05-06,002474,7.42,7.51,7.58,7.42,183133,137946607.26,2.17,1.9,0.14,3.46
2026-05-07,002474,7.52,7.58,7.62,7.4,188923,141702185.93,2.93,0.93,0.07,3.57
2026-05-08,002474,7.65,8.34,8.34,7.6,354347,287810439.67,9.76,10.03,0.76,6.7
2026-05-11,002474,8.46,8.28,8.55,8.07,1131511,929028474.98,5.76,-0.72,-0.06,21.4
2026-05-12,002474,8.2,8.07,8.29,8.03,534089,434994147.07,3.14,-2.54,-0.21,10.1
2026-05-13,002474,8.11,8.22,8.26,8.05,517949,423932460.03,2.6,1.86,0.15,9.79
2026-05-14,002474,8.19,7.84,8.19,7.82,432587,344550332.4,4.5,-4.62,-0.38,8.18
2026-05-15,002474,7.82,8.23,8.47,7.81,730083,597219396.74,8.42,4.97,0.39,13.81
2026-05-18,002474,8.13,8.14,8.28,8.05,392672,319236190.76,2.79,-1.09,-0.09,7.43
2026-05-19,002474,8.1,8.52,8.55,8.09,779289,657315030.64,5.65,4.67,0.38,14.74
2026-05-20,002474,8.4,8.32,8.5,8.25,456643,380444244.01,2.93,-2.35,-0.2,8.63
2026-05-21,002474,8.26,7.94,8.37,7.84,473889,384824158.3,6.37,-4.57,-0.38,8.96
2026-05-22,002474,7.99,7.96,8.05,7.7,328584,258374900.89,4.41,0.25,0.02,6.21
2026-05-25,002474,7.9,7.4,8.0,7.27,463569,352123716.97,9.17,-7.04,-0.56,8.77
2026-05-26,002474,7.33,7.28,7.49,7.07,272525,199177468.62,5.68,-1.62,-0.12,5.15
2026-05-27,002474,7.23,6.87,7.27,6.85,332785,233320948.06,5.77,-5.63,-0.41,6.29
2026-05-28,002474,6.9,6.96,7.02,6.8,206960,143518474.82,3.2,1.31,0.09,3.91
2026-05-29,002474,7.04,6.61,7.11,6.57,261338,177144482.39,7.76,-5.03,-0.35,4.94
2026-06-01,002474,6.66,7.27,7.27,6.66,262940,187840489.75,9.23,9.98,0.66,4.97
2026-06-02,002474,7.27,7.03,7.39,6.98,380502,270225016.0,5.64,-3.3,-0.24,7.2
2026-06-03,002474,7.08,6.98,7.09,6.87,249819,174610465.66,3.13,-0.71,-0.05,4.72
2026-06-04,002474,6.93,7.07,7.07,6.79,237082,164164717.7,4.01,1.29,0.09,4.48
2026-06-05,002474,7.0,7.16,7.22,6.87,289315,205268115.5,4.95,1.27,0.09,5.47
2026-06-08,002474,6.91,6.87,7.11,6.82,181406,126121075.98,4.05,-4.05,-0.29,3.43
2026-06-09,002474,6.99,6.98,7.0,6.77,164900,113841988.48,3.35,1.6,0.11,3.12
2026-06-10,002474,6.92,7.26,7.37,6.88,383797,275534443.99,7.02,4.01,0.28,7.26
2026-06-11,002474,7.11,6.95,7.16,6.86,223622,155373870.89,4.13,-4.27,-0.31,4.23
2026-06-12,002474,6.98,7.06,7.17,6.91,185030,130259606.8,3.74,1.58,0.11,3.5
2026-06-15,002474,7.09,7.16,7.21,7.02,163369,116570169.37,2.69,1.42,0.1,3.09
2026-06-16,002474,7.11,6.98,7.13,6.94,221592,155200920.82,2.65,-2.51,-0.18,4.19
2026-06-17,002474,6.93,6.7,6.93,6.66,216222,145826443.01,3.87,-4.01,-0.28,4.09
2026-06-18,002474,6.69,6.31,6.74,6.25,274387,176891199.3,7.31,-5.82,-0.39,5.19
2026-06-22,002474,6.3,6.39,6.43,6.1,211108,132137999.86,5.23,1.27,0.08,3.99
2026-06-23,002474,6.4,6.34,6.49,6.28,156958,100387940.77,3.29,-0.78,-0.05,2.97
2026-06-24,002474,6.38,6.01,6.43,5.87,239157,144557077.64,8.83,-5.21,-0.33,4.52
2026-06-25,002474,5.99,5.85,6.0,5.8,187776,110073611.76,3.33,-2.66,-0.16,3.55
2026-06-26,002474,5.85,5.67,5.85,5.62,160030,91479657.8,3.93,-3.08,-0.18,3.03
2026-06-29,002474,5.66,5.68,5.7,5.49,178650,100423007.81,3.7,0.18,0.01,3.38
2026-06-30,002474,5.69,5.7,5.76,5.55,150391,85471765.02,3.7,0.35,0.02,2.84
2026-07-01,002474,5.74,5.88,5.95,5.69,195150,114207088.7,4.56,3.16,0.18,3.69
2026-07-02,002474,5.96,5.82,6.04,5.79,182918,108368175.55,4.25,-1.02,-0.06,3.46
2026-07-03,002474,5.8,5.86,5.92,5.77,145645,85316841.0,2.58,0.69,0.04,2.75
2026-07-06,002474,5.83,5.68,5.89,5.67,136380,78484041.42,3.75,-3.07,-0.18,2.58
2026-07-07,002474,5.67,5.52,5.7,5.51,114326,63844972.88,3.35,-2.82,-0.16,2.16
2026-07-08,002474,5.51,5.63,5.7,5.47,160466,90129860.4,4.17,1.99,0.11,3.03
2026-07-09,002474,5.6,5.65,5.7,5.45,156093,87231042.86,4.44,0.36,0.02,2.95
2026-07-10,002474,5.6,5.79,5.9,5.53,225310,130437176.44,6.55,2.48,0.14,4.26
2026-07-13,002474,5.78,5.57,5.85,5.48,257935,145133952.91,6.39,-3.8,-0.22,4.88
2026-07-14,002474,5.52,5.63,5.65,5.39,190090,105171854.06,4.67,1.08,0.06,3.59
2026-07-15,002474,5.6,5.65,5.76,5.59,137274,78077176.12,3.02,0.36,0.02,2.6
2026-07-16,002474,5.64,5.85,5.85,5.6,116719,67210528.8,4.42,3.54,0.2,2.21
