date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,300466,9.3,8.78,9.32,8.76,113855,102137355.0,6.07,-4.77,-0.44,2.54
2026-03-23,300466,8.66,8.28,8.75,8.2,103956,88313289.0,6.26,-5.69,-0.5,2.32
2026-03-24,300466,8.6,8.61,8.62,8.28,85601,72161682.0,4.11,3.99,0.33,1.91
2026-03-25,300466,8.59,8.66,8.71,8.59,61518,53278818.0,1.39,0.58,0.05,1.37
2026-03-26,300466,8.68,8.49,8.72,8.45,55767,47711741.0,3.12,-1.96,-0.17,1.24
2026-03-27,300466,8.36,8.62,8.68,8.3,51257,43841678.0,4.48,1.53,0.13,1.14
2026-03-30,300466,8.58,8.64,8.65,8.42,41858,35799821.0,2.67,0.23,0.02,0.93
2026-03-31,300466,8.64,8.5,8.75,8.46,46688,40212582.0,3.36,-1.62,-0.14,1.04
2026-04-01,300466,8.66,8.63,8.72,8.54,39661,34138655.0,2.12,1.53,0.13,0.88
2026-04-02,300466,8.6,8.43,8.64,8.39,42361,36009302.0,2.9,-2.32,-0.2,0.94
2026-04-03,300466,8.52,8.33,8.52,8.3,41560,34801414.0,2.61,-1.19,-0.1,0.93
2026-04-07,300466,8.41,8.45,8.47,8.31,33455,28105928.0,1.92,1.44,0.12,0.75
2026-04-08,300466,8.62,8.78,8.78,8.6,56906,49564916.0,2.13,3.91,0.33,1.27
2026-04-09,300466,8.74,8.61,9.07,8.6,65942,57547694.0,5.35,-1.94,-0.17,1.47
2026-04-10,300466,8.66,8.74,8.77,8.65,46836,40823296.0,1.39,1.51,0.13,1.04
2026-04-13,300466,8.63,8.7,8.73,8.63,31348,27224289.0,1.14,-0.46,-0.04,0.7
2026-04-14,300466,8.75,8.77,8.85,8.66,45197,39416519.0,2.18,0.8,0.07,1.01
2026-04-15,300466,8.8,8.62,8.8,8.61,48624,42349617.0,2.17,-1.71,-0.15,1.08
2026-04-16,300466,8.69,8.8,8.83,8.64,53596,46837529.0,2.2,2.09,0.18,1.19
2026-04-17,300466,8.76,8.77,8.81,8.68,43279,37791723.0,1.48,-0.34,-0.03,0.96
2026-04-20,300466,8.79,8.74,8.82,8.7,51729,45255090.0,1.37,-0.34,-0.03,1.15
2026-04-21,300466,8.74,8.69,8.79,8.58,62256,53870447.0,2.4,-0.57,-0.05,1.39
2026-04-22,300466,8.63,8.55,8.65,8.51,64043,54804203.0,1.61,-1.61,-0.14,1.43
2026-04-23,300466,8.73,8.96,9.24,8.71,193407,174127561.0,6.2,4.8,0.41,4.31
2026-04-24,300466,8.94,9.1,9.36,8.85,194803,178718380.0,5.69,1.56,0.14,4.34
2026-04-27,300466,9.01,9.14,9.2,8.96,113782,103424388.0,2.64,0.44,0.04,2.53
2026-04-28,300466,9.06,8.96,9.19,8.89,93561,84464601.0,3.28,-1.97,-0.18,2.08
2026-04-29,300466,8.95,8.98,9.05,8.9,76895,69126756.0,1.67,0.22,0.02,1.71
2026-04-30,300466,8.95,9.12,9.14,8.92,84194,76245277.0,2.45,1.56,0.14,1.88
2026-05-06,300466,9.13,9.09,9.15,9.01,82322,74790859.0,1.54,-0.33,-0.03,1.83
2026-05-07,300466,9.24,9.15,9.25,9.11,78727,71991263.0,1.54,0.66,0.06,1.75
2026-05-08,300466,9.1,9.42,9.43,9.08,135949,126161014.0,3.83,2.95,0.27,3.03
2026-05-11,300466,9.45,9.29,9.45,9.24,106363,98788729.0,2.23,-1.38,-0.13,2.37
2026-05-12,300466,9.26,9.12,9.34,9.07,81393,74530236.0,2.91,-1.83,-0.17,1.81
2026-05-13,300466,9.04,9.4,9.56,9.03,147261,136845247.0,5.81,3.07,0.28,3.28
2026-05-14,300466,9.39,9.12,9.4,9.12,97182,89511450.0,2.98,-2.98,-0.28,2.17
2026-05-15,300466,9.13,9.34,9.49,9.06,135757,126681622.0,4.71,2.41,0.22,3.02
2026-05-18,300466,9.21,9.31,9.34,9.08,111067,102310766.0,2.78,-0.32,-0.03,2.47
2026-05-19,300466,9.3,9.46,9.57,9.29,106262,100386067.0,3.01,1.61,0.15,2.37
2026-05-20,300466,9.37,9.24,9.59,9.17,109873,101997550.0,4.44,-2.33,-0.22,2.45
2026-05-21,300466,9.2,8.94,9.34,8.93,116344,106498755.0,4.44,-3.25,-0.3,2.59
2026-05-22,300466,9.0,9.14,9.14,8.78,89434,80216992.0,4.03,2.24,0.2,1.99
2026-05-25,300466,9.14,9.02,9.19,8.92,69349,62673706.0,2.95,-1.31,-0.12,1.54
2026-05-26,300466,9.0,8.86,9.06,8.69,90644,80188651.0,4.1,-1.77,-0.16,2.02
2026-05-27,300466,8.78,8.54,8.88,8.48,81401,70126849.0,4.51,-3.61,-0.32,1.81
2026-05-28,300466,8.53,8.56,8.63,8.32,70273,59519914.0,3.63,0.23,0.02,1.57
2026-05-29,300466,8.55,8.02,8.59,7.99,100187,82299371.0,7.01,-6.31,-0.54,2.23
2026-06-01,300466,8.03,8.26,8.35,8.01,79123,65222009.0,4.24,2.99,0.24,1.76
2026-06-02,300466,8.26,8.03,8.29,7.92,71323,57300359.0,4.48,-2.78,-0.23,1.59
2026-06-03,300466,8.0,8.04,8.12,7.94,69102,55598662.0,2.24,0.12,0.01,1.54
2026-06-04,300466,8.03,7.95,8.1,7.9,62094,49564937.0,2.49,-1.12,-0.09,1.38
2026-06-05,300466,7.91,8.2,8.35,7.77,98776,79879419.0,7.3,3.14,0.25,2.2
2026-06-08,300466,7.95,8.06,8.29,7.91,92249,74587757.0,4.63,-1.71,-0.14,2.06
2026-06-09,300466,8.09,8.04,8.17,7.96,71353,57440098.0,2.61,-0.25,-0.02,1.59
2026-06-10,300466,8.0,7.81,8.05,7.66,93994,73291171.0,4.85,-2.86,-0.23,2.09
2026-06-11,300466,7.68,7.62,7.78,7.48,73352,55775904.0,3.84,-2.43,-0.19,1.63
2026-06-12,300466,7.7,7.63,7.81,7.6,69999,53765365.0,2.76,0.13,0.01,1.56
2026-06-15,300466,7.65,7.59,7.8,7.52,80454,61474648.0,3.67,-0.52,-0.04,1.79
2026-06-16,300466,7.58,7.76,7.82,7.45,81694,62670803.0,4.87,2.24,0.17,1.82
2026-06-17,300466,7.69,7.51,7.74,7.48,70883,53629516.0,3.35,-3.22,-0.25,1.58
2026-06-18,300466,7.5,7.57,7.63,7.43,58683,44365558.0,2.66,0.8,0.06,1.31
2026-06-22,300466,7.58,7.54,7.59,7.19,91839,67439994.0,5.28,-0.4,-0.03,2.05
2026-06-23,300466,7.47,7.64,7.79,7.44,79102,60659195.0,4.64,1.33,0.1,1.76
2026-06-24,300466,7.67,7.4,7.69,7.27,74109,54842253.0,5.5,-3.14,-0.24,1.65
2026-06-25,300466,7.37,7.23,7.4,7.19,61510,44604703.0,2.84,-2.3,-0.17,1.37
2026-06-26,300466,7.15,7.04,7.22,7.03,65423,46410817.0,2.63,-2.63,-0.19,1.46
2026-06-29,300466,7.06,6.94,7.07,6.76,89183,61544653.0,4.4,-1.42,-0.1,1.99
2026-06-30,300466,6.91,7.04,7.09,6.84,66103,46385094.0,3.6,1.44,0.1,1.47
2026-07-01,300466,7.11,7.29,7.54,7.08,88550,64793938.0,6.53,3.55,0.25,1.97
2026-07-02,300466,7.24,7.18,7.47,7.16,82275,60110672.0,4.25,-1.51,-0.11,1.83
2026-07-03,300466,7.23,7.59,7.69,7.18,116905,87497614.0,7.1,5.71,0.41,2.6
2026-07-06,300466,7.53,7.33,7.67,7.32,87313,64897711.0,4.61,-3.43,-0.26,1.95
2026-07-07,300466,7.35,7.13,7.47,7.09,64064,46301974.0,5.18,-2.73,-0.2,1.43
2026-07-08,300466,7.07,6.93,7.15,6.82,60199,41889584.0,4.63,-2.81,-0.2,1.34
2026-07-09,300466,6.96,7.05,7.07,6.86,60933,42480007.0,3.03,1.73,0.12,1.36
2026-07-10,300466,6.99,7.17,7.33,6.95,72005,51661488.0,5.39,1.7,0.12,1.6
2026-07-13,300466,7.19,6.86,7.19,6.84,73579,50957382.0,4.88,-4.32,-0.31,1.64
2026-07-14,300466,6.82,6.99,7.0,6.77,63015,43526380.0,3.35,1.9,0.13,1.4
2026-07-15,300466,6.96,7.11,7.25,6.93,60157,42746515.0,4.58,1.72,0.12,1.34
2026-07-16,300466,7.07,7.26,7.32,7.02,36062,25880207.0,4.22,2.11,0.15,0.8
