date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-13,002169,15.8,15.45,16.19,15.35,400992,633126887.89,5.29,-2.65,-0.42,5.29
2026-03-16,002169,15.62,15.6,15.78,15.27,328964,513154790.32,3.3,0.97,0.15,4.34
2026-03-17,002169,15.65,14.58,15.69,14.54,491994,738719660.11,7.37,-6.54,-1.02,6.48
2026-03-18,002169,14.53,14.99,15.02,14.42,320969,474031665.27,4.12,2.81,0.41,4.23
2026-03-19,002169,14.72,14.09,14.72,13.93,373765,536570996.64,5.27,-6.0,-0.9,4.93
2026-03-20,002169,14.2,13.92,14.45,13.9,290804,415280644.75,3.9,-1.21,-0.17,3.83
2026-03-23,002169,13.72,13.27,14.06,13.13,378777,517753411.82,6.68,-4.67,-0.65,4.99
2026-03-24,002169,13.53,13.82,13.9,13.2,317683,432957828.17,5.28,4.14,0.55,4.19
2026-03-25,002169,14.02,14.33,14.37,13.94,279103,399605348.3,3.11,3.69,0.51,3.68
2026-03-26,002169,14.28,14.25,14.4,14.1,227097,326026409.64,2.09,-0.56,-0.08,2.99
2026-03-27,002169,14.09,14.72,14.84,14.04,263529,386366365.32,5.61,3.3,0.47,3.47
2026-03-30,002169,14.44,14.36,14.64,14.04,235048,337269003.25,4.08,-2.45,-0.36,3.1
2026-03-31,002169,14.37,14.15,14.65,14.09,198811,287017400.91,3.9,-1.46,-0.21,2.62
2026-04-01,002169,14.65,14.25,14.7,14.16,203845,295057620.03,3.82,0.71,0.1,2.69
2026-04-02,002169,14.32,14.12,14.58,14.08,249829,359143166.73,3.51,-0.91,-0.13,3.29
2026-04-03,002169,14.15,13.82,14.58,13.71,256850,364329554.2,6.16,-2.12,-0.3,3.39
2026-04-07,002169,13.91,13.8,13.96,13.57,198070,274256266.12,2.82,-0.14,-0.02,2.61
2026-04-08,002169,14.21,14.77,14.8,14.17,308407,450019072.22,4.57,7.03,0.97,4.07
2026-04-09,002169,14.61,14.77,14.81,14.52,197297,291543562.79,1.96,0.0,0.0,2.6
2026-04-10,002169,14.82,14.77,15.1,14.7,213879,320463700.05,2.71,0.0,0.0,2.82
2026-04-13,002169,14.67,15.01,15.08,14.57,250678,376187050.78,3.45,1.62,0.24,3.3
2026-04-14,002169,15.12,15.27,15.27,14.87,251334,381408623.39,2.66,1.73,0.26,3.31
2026-04-15,002169,15.3,14.82,15.47,14.63,391358,591192971.47,5.5,-2.95,-0.45,5.16
2026-04-16,002169,14.98,14.67,15.16,14.4,326707,482183999.78,5.13,-1.01,-0.15,4.31
2026-04-17,002169,14.54,14.46,14.6,14.07,334191,482464165.74,3.61,-1.43,-0.21,4.4
2026-04-20,002169,14.4,14.53,14.66,14.23,250606,364882643.12,2.97,0.48,0.07,3.3
2026-04-21,002169,14.59,14.82,14.84,14.25,289790,424307309.43,4.06,2.0,0.29,3.82
2026-04-22,002169,14.64,13.85,14.72,13.69,599098,838559751.48,6.95,-6.55,-0.97,7.9
2026-04-23,002169,13.77,12.89,13.79,12.7,542641,717832227.26,7.87,-6.93,-0.96,7.15
