date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-13,300323,13.2,13.07,13.68,12.9,2136362,2831094858.0,5.82,-2.54,-0.34,24.3
2026-03-16,300323,12.96,12.65,13.09,12.11,1557500,1946611279.0,7.5,-3.21,-0.42,17.71
2026-03-17,300323,12.6,11.19,12.73,11.09,1713546,1977621646.0,12.96,-11.54,-1.46,19.49
2026-03-18,300323,11.21,11.12,11.4,10.81,1283825,1420135179.0,5.27,-0.63,-0.07,14.6
2026-03-19,300323,10.85,10.78,11.02,10.66,986617,1064852056.0,3.24,-3.06,-0.34,11.22
2026-03-20,300323,10.81,10.96,12.05,10.81,1938394,2208718615.0,11.5,1.67,0.18,22.05
2026-03-23,300323,10.5,9.84,10.68,9.71,1487011,1518990547.0,8.85,-10.22,-1.12,16.91
2026-03-24,300323,10.13,10.17,10.19,9.68,990679,988514518.0,5.18,3.35,0.33,11.27
2026-03-25,300323,10.34,10.21,10.83,10.16,1086913,1135693867.0,6.59,0.39,0.04,12.36
2026-03-26,300323,10.34,9.78,10.39,9.72,806889,804384406.0,6.56,-4.21,-0.43,9.18
2026-03-27,300323,9.7,9.94,10.05,9.47,640478,625762616.0,5.93,1.64,0.16,7.28
2026-03-30,300323,9.76,9.91,9.97,9.42,582359,565219493.0,5.53,-0.3,-0.03,6.62
2026-03-31,300323,9.99,9.64,9.99,9.55,479881,465645132.0,4.44,-2.72,-0.27,5.46
2026-04-01,300323,9.89,9.76,10.25,9.65,789930,783754847.0,6.22,1.24,0.12,8.98
2026-04-02,300323,9.66,9.46,9.92,9.38,534845,514078334.0,5.53,-3.07,-0.3,6.08
2026-04-03,300323,9.55,9.3,9.76,9.28,667932,635315555.0,5.07,-1.69,-0.16,7.6
2026-04-07,300323,9.31,9.24,9.53,9.11,538799,501466100.0,4.52,-0.65,-0.06,4.54
2026-04-08,300323,9.7,10.02,10.13,9.52,944854,931606670.0,6.6,8.44,0.78,7.96
2026-04-09,300323,9.7,9.99,10.18,9.66,617156,616010603.0,5.19,-0.3,-0.03,5.2
2026-04-10,300323,10.15,9.89,10.18,9.88,574721,574153802.0,3.0,-1.0,-0.1,4.84
2026-04-13,300323,9.84,10.05,10.15,9.75,503763,505071570.0,4.04,1.62,0.16,4.24
2026-04-14,300323,10.15,9.98,10.15,9.88,494132,494009170.0,2.69,-0.7,-0.07,4.16
2026-04-15,300323,10.0,9.88,10.15,9.83,494516,494829744.0,3.21,-1.0,-0.1,4.16
2026-04-16,300323,10.06,9.93,10.08,9.8,409652,405571146.0,2.83,0.51,0.05,3.45
2026-04-17,300323,9.87,10.26,10.49,9.85,972243,997213413.0,6.45,3.32,0.33,8.19
2026-04-20,300323,10.2,10.9,11.06,10.16,1241845,1322886922.0,8.77,6.24,0.64,10.46
2026-04-21,300323,10.7,10.85,11.24,10.62,924451,1002277401.0,5.69,-0.46,-0.05,7.78
2026-04-22,300323,10.93,11.2,11.44,10.79,1008699,1126509294.0,5.99,3.23,0.35,8.49
2026-04-23,300323,11.08,10.67,11.18,10.53,864482,932160329.0,5.8,-4.73,-0.53,7.28
2026-04-24,300323,10.52,10.82,11.11,10.45,816040,879155248.0,6.19,1.41,0.15,6.87
2026-04-27,300323,10.83,11.22,11.6,10.82,789904,886973291.0,7.21,3.7,0.4,6.65
2026-04-28,300323,11.23,10.79,11.26,10.68,671777,733096536.0,5.17,-3.83,-0.43,5.66
2026-04-29,300323,11.32,11.51,11.98,11.2,1566455,1815418990.0,7.23,6.67,0.72,13.19
2026-04-30,300323,11.3,12.1,12.34,11.08,1542670,1798528821.0,10.95,5.13,0.59,12.99
2026-05-06,300323,12.13,12.29,12.7,11.96,1448028,1784709826.0,6.12,1.57,0.19,12.19
2026-05-07,300323,12.41,12.75,13.4,12.33,1512049,1950832464.0,8.71,3.74,0.46,12.73
2026-05-08,300323,12.57,13.28,13.4,12.5,1156611,1510130266.0,7.06,4.16,0.53,9.74
2026-05-11,300323,13.7,13.93,14.44,13.5,1306822,1832655482.0,7.08,4.89,0.65,11.0
2026-05-12,300323,14.07,14.79,15.0,13.65,1549100,2210641937.0,9.69,6.17,0.86,13.04
2026-05-13,300323,14.4,14.7,15.09,14.28,1094195,1610736153.0,5.48,-0.61,-0.09,9.21
2026-05-14,300323,14.78,16.4,17.12,14.78,1783987,2899608477.0,15.92,11.56,1.7,15.02
2026-05-15,300323,16.29,17.63,17.88,15.3,2323115,3847220153.0,15.73,7.5,1.23,19.56
2026-05-18,300323,16.89,16.55,17.13,16.02,1786037,2959160268.0,6.3,-6.13,-1.08,15.04
2026-05-19,300323,16.05,16.68,16.73,15.41,1402740,2256624869.0,7.98,0.79,0.13,11.81
2026-05-20,300323,16.13,17.05,17.39,15.8,1660099,2747843295.0,9.53,2.22,0.37,13.98
2026-05-21,300323,20.46,18.73,20.46,18.46,3299944,6504405906.0,11.73,9.85,1.68,27.78
2026-05-22,300323,18.2,18.7,19.59,17.34,2765375,5065743436.0,12.01,-0.16,-0.03,23.28
2026-05-25,300323,18.71,17.68,18.9,17.34,1921189,3424523069.0,8.34,-5.45,-1.02,16.18
2026-05-26,300323,17.08,17.06,18.09,16.77,1906150,3304785606.0,7.47,-3.51,-0.62,16.05
2026-05-27,300323,16.9,16.92,17.95,16.54,1618057,2793388563.0,8.26,-0.82,-0.14,13.62
2026-05-28,300323,16.31,17.05,17.17,16.21,1502199,2498263493.0,5.67,0.77,0.13,12.65
2026-05-29,300323,16.79,15.54,16.85,15.39,1401540,2239353298.0,8.56,-8.86,-1.51,11.8
2026-06-01,300323,15.42,15.01,16.0,14.91,1121857,1736463242.0,7.01,-3.41,-0.53,9.45
2026-06-02,300323,15.31,15.24,15.57,14.8,891104,1357836262.0,5.13,1.53,0.23,7.5
2026-06-03,300323,15.49,16.56,17.83,15.46,1899696,3150928928.0,15.55,8.66,1.32,15.99
2026-06-04,300323,16.22,18.02,18.66,16.2,1857515,3283542879.0,14.86,8.82,1.46,15.64
2026-06-05,300323,17.51,17.66,18.88,17.06,1762212,3156449297.0,10.1,-2.0,-0.36,14.84
2026-06-08,300323,16.52,16.73,17.99,16.52,1279798,2200484168.0,8.32,-5.27,-0.93,10.78
2026-06-09,300323,17.1,16.73,17.33,16.34,1074446,1790809024.0,5.92,0.0,0.0,9.05
2026-06-10,300323,16.2,15.67,16.23,15.32,1018759,1597250024.0,5.44,-6.34,-1.06,8.58
2026-06-11,300323,15.62,15.26,15.84,15.02,686582,1051034657.0,5.23,-2.62,-0.41,5.78
2026-06-12,300323,15.8,14.66,16.89,14.52,1173319,1816448967.0,15.53,-3.93,-0.6,9.88
2026-06-15,300323,14.96,16.04,16.05,14.96,1056533,1650951298.0,7.44,9.41,1.38,8.9
2026-06-16,300323,16.04,16.13,16.63,15.93,780761,1270653921.0,4.36,0.56,0.09,6.57
2026-06-17,300323,15.65,16.8,17.2,15.65,1155714,1937184983.0,9.61,4.15,0.67,9.73
2026-06-18,300323,16.47,16.13,16.66,16.01,968333,1570808263.0,3.87,-3.99,-0.67,8.15
2026-06-22,300323,16.5,16.02,16.8,15.6,1038007,1683063258.0,7.44,-0.68,-0.11,8.74
2026-06-23,300323,16.34,16.08,16.48,15.4,965793,1548839948.0,6.74,0.37,0.06,8.13
2026-06-24,300323,15.94,16.42,16.86,15.66,1141334,1861482477.0,7.46,2.11,0.34,9.61
2026-06-25,300323,16.83,18.32,18.55,15.78,2012577,3451990399.0,16.87,11.57,1.9,16.95
2026-06-26,300323,17.97,19.36,21.4,17.78,2560377,5113392235.0,19.76,5.68,1.04,21.56
2026-06-29,300323,20.3,19.17,21.3,17.93,1842340,3578231091.0,17.41,-0.98,-0.19,15.51
2026-06-30,300323,19.99,20.4,20.98,19.28,1693745,3438030631.0,8.87,6.42,1.23,14.26
2026-07-01,300323,19.6,22.14,22.18,19.39,1822806,3872397386.0,13.68,8.53,1.74,15.35
2026-07-02,300323,20.5,20.69,22.7,19.43,1767404,3739733889.0,14.77,-6.55,-1.45,14.88
2026-07-03,300323,19.82,17.95,20.39,17.9,1653695,3081140021.0,12.03,-13.24,-2.74,13.92
2026-07-06,300323,18.22,17.27,18.3,16.91,1054744,1859865292.0,7.74,-3.79,-0.68,8.88
2026-07-07,300323,17.25,16.58,17.45,16.2,720210,1210796296.0,7.24,-4.0,-0.69,6.06
2026-07-08,300323,16.8,15.61,16.86,15.41,690504,1099907519.0,8.75,-5.85,-0.97,5.81
2026-07-09,300323,15.97,16.09,16.35,15.88,235053,379310376.24,3.01,3.07,0.48,1.98
