date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,000561,10.23,9.69,10.25,9.68,137846,136266072.77,5.63,-4.25,-0.43,1.92
2026-03-23,000561,9.46,9.04,9.57,9.03,172268,160161216.14,5.57,-6.71,-0.65,2.4
2026-03-24,000561,9.28,9.44,9.45,9.1,157709,146147674.27,3.87,4.42,0.4,2.2
2026-03-25,000561,9.42,9.62,9.65,9.4,112928,107614457.93,2.65,1.91,0.18,1.58
2026-03-26,000561,9.63,9.49,9.69,9.45,93844,89537817.96,2.49,-1.35,-0.13,1.31
2026-03-27,000561,9.4,9.58,9.6,9.3,82823,78764620.72,3.16,0.95,0.09,1.16
2026-03-30,000561,9.43,9.76,9.77,9.41,103273,99702289.87,3.76,1.88,0.18,1.44
2026-03-31,000561,9.76,9.69,9.92,9.69,100497,98637831.39,2.36,-0.72,-0.07,1.4
2026-04-01,000561,9.84,9.67,9.86,9.57,82830,79962032.65,2.99,-0.21,-0.02,1.16
2026-04-02,000561,9.61,9.52,9.74,9.44,68608,65563642.39,3.1,-1.55,-0.15,0.96
2026-04-03,000561,9.57,9.28,9.57,9.27,65108,60904156.33,3.15,-2.52,-0.24,0.91
2026-04-07,000561,9.36,9.3,9.38,9.28,48905,45623139.9,1.08,0.22,0.02,0.68
2026-04-08,000561,9.47,9.76,9.77,9.42,118895,114708715.19,3.76,4.95,0.46,1.53
2026-04-09,000561,9.68,9.67,9.76,9.58,90270,87211424.74,1.84,-0.92,-0.09,1.16
2026-04-10,000561,9.75,9.66,9.85,9.65,103937,101408403.6,2.07,-0.1,-0.01,1.34
2026-04-13,000561,9.64,9.76,9.79,9.6,89572,86867376.64,1.97,1.04,0.1,1.15
2026-04-14,000561,9.81,9.89,9.89,9.74,117433,115436813.23,1.54,1.33,0.13,1.51
2026-04-15,000561,9.9,9.81,10.03,9.76,151090,149621368.48,2.73,-0.81,-0.08,1.95
2026-04-16,000561,9.8,9.97,9.99,9.72,127719,125953150.07,2.75,1.63,0.16,1.65
2026-04-17,000561,9.89,9.98,10.04,9.78,137019,136138708.25,2.61,0.1,0.01,1.77
2026-04-20,000561,9.97,10.1,10.11,9.96,166044,166746874.84,1.5,1.2,0.12,2.14
2026-04-21,000561,10.07,9.93,10.14,9.88,107233,106657280.12,2.57,-1.68,-0.17,1.38
2026-04-22,000561,9.88,9.89,9.97,9.84,88499,87628834.04,1.31,-0.4,-0.04,1.14
2026-04-23,000561,9.86,9.68,9.96,9.63,123969,120962848.67,3.34,-2.12,-0.21,1.6
2026-04-24,000561,9.65,9.48,9.66,9.39,95897,90830454.83,2.79,-2.07,-0.2,1.24
2026-04-27,000561,9.49,9.47,9.52,9.3,84250,79275686.78,2.32,-0.11,-0.01,1.09
2026-04-28,000561,9.43,9.23,9.46,9.18,97366,90315254.73,2.96,-2.53,-0.24,1.25
2026-04-29,000561,9.13,9.29,9.32,9.08,96381,89107037.82,2.6,0.65,0.06,1.24
2026-04-30,000561,9.25,9.51,9.52,9.25,134784,127384153.9,2.91,2.37,0.22,1.74
2026-05-06,000561,9.55,9.64,9.67,9.51,100183,96375019.64,1.68,1.37,0.13,1.29
2026-05-07,000561,9.63,9.66,9.67,9.54,88873,85492727.69,1.35,0.21,0.02,1.14
2026-05-08,000561,9.65,9.9,9.94,9.57,148735,145770949.1,3.83,2.48,0.24,1.92
2026-05-11,000561,9.92,9.94,10.0,9.85,156738,155731298.96,1.52,0.4,0.04,2.02
2026-05-12,000561,9.93,9.71,9.94,9.63,131032,127755696.56,3.12,-2.31,-0.23,1.69
2026-05-13,000561,9.74,9.87,9.92,9.65,132884,130241497.48,2.78,1.65,0.16,1.71
2026-05-14,000561,9.86,9.4,9.87,9.4,141785,136065891.97,4.76,-4.76,-0.47,1.83
2026-05-15,000561,9.5,9.26,9.55,9.21,104796,97787679.0,3.62,-1.49,-0.14,1.35
2026-05-18,000561,9.22,9.36,9.43,9.18,83835,78390606.1,2.7,1.08,0.1,1.08
2026-05-19,000561,9.36,9.34,9.38,9.19,83233,77268251.88,2.03,-0.21,-0.02,1.07
2026-05-20,000561,9.3,9.12,9.3,9.02,101250,92180417.1,3.0,-2.36,-0.22,1.3
2026-05-21,000561,9.16,8.79,9.22,8.78,125075,113023563.0,4.82,-3.62,-0.33,1.61
2026-05-22,000561,8.85,8.95,8.97,8.71,89227,79108415.14,2.96,1.82,0.16,1.15
2026-05-25,000561,8.96,8.8,9.04,8.71,92643,81884111.08,3.69,-1.68,-0.15,1.19
2026-05-26,000561,8.81,8.59,8.84,8.41,116397,99409736.73,4.89,-2.39,-0.21,1.5
2026-05-27,000561,8.6,8.31,8.67,8.24,103099,86748954.0,5.01,-3.26,-0.28,1.33
2026-05-28,000561,8.31,8.46,8.54,8.24,99546,83636827.23,3.61,1.81,0.15,1.28
2026-05-29,000561,8.43,8.1,8.5,8.06,128022,105173304.74,5.2,-4.26,-0.36,1.65
2026-06-01,000561,8.1,8.18,8.26,8.04,78186,63952865.09,2.72,0.99,0.08,1.01
2026-06-02,000561,8.2,8.15,8.25,8.1,86844,70935197.08,1.83,-0.37,-0.03,1.12
2026-06-03,000561,8.14,8.08,8.24,8.01,99226,80731794.5,2.82,-0.86,-0.07,1.28
2026-06-04,000561,8.05,7.99,8.12,7.92,84532,67728899.42,2.48,-1.11,-0.09,1.09
2026-06-05,000561,7.99,8.24,8.36,7.93,182977,150374253.36,5.38,3.13,0.25,2.36
2026-06-08,000561,7.98,7.84,8.22,7.75,155764,123921757.64,5.7,-4.85,-0.4,2.01
2026-06-09,000561,7.88,7.92,7.98,7.76,92860,73199475.79,2.81,1.02,0.08,1.2
2026-06-10,000561,7.86,7.76,7.99,7.62,92963,72402472.01,4.67,-2.02,-0.16,1.2
2026-06-11,000561,7.69,7.73,7.78,7.59,95019,72850505.94,2.45,-0.39,-0.03,1.22
2026-06-12,000561,7.81,7.95,8.13,7.78,166945,133461373.0,4.53,2.85,0.22,2.15
2026-06-15,000561,7.9,7.99,8.01,7.82,117258,92973876.28,2.39,0.5,0.04,1.51
2026-06-16,000561,8.0,8.0,8.08,7.96,105667,84619750.44,1.5,0.13,0.01,1.36
2026-06-17,000561,7.97,7.82,7.97,7.76,103871,81469264.3,2.63,-2.25,-0.18,1.34
2026-06-18,000561,7.79,7.7,7.89,7.6,87716,67914802.7,3.71,-1.53,-0.12,1.13
2026-06-22,000561,7.69,7.8,7.81,7.39,134317,101723200.37,5.45,1.3,0.1,1.73
2026-06-23,000561,7.78,7.72,7.89,7.66,111881,87241446.37,2.95,-1.03,-0.08,1.44
2026-06-24,000561,7.75,7.49,7.75,7.38,117699,88093267.0,4.79,-2.98,-0.23,1.52
2026-06-25,000561,7.47,7.43,7.6,7.31,117422,87378460.0,3.87,-0.8,-0.06,1.51
2026-06-26,000561,7.38,7.25,7.38,7.14,113814,82597547.44,3.23,-2.42,-0.18,1.47
2026-06-29,000561,7.18,7.2,7.27,7.0,119665,85653085.72,3.72,-0.69,-0.05,1.54
2026-06-30,000561,7.2,7.4,7.42,7.12,134117,98323631.0,4.17,2.78,0.2,1.73
2026-07-01,000561,7.44,7.53,7.66,7.39,132614,99679465.05,3.65,1.76,0.13,1.71
2026-07-02,000561,7.49,7.25,7.57,7.23,129874,96022971.02,4.52,-3.72,-0.28,1.67
2026-07-03,000561,7.3,7.64,7.74,7.28,212465,160805809.81,6.34,5.38,0.39,2.74
2026-07-06,000561,7.67,7.39,7.72,7.39,135445,101520313.0,4.32,-3.27,-0.25,1.74
2026-07-07,000561,7.37,7.09,7.42,7.07,91980,66277994.0,4.74,-4.06,-0.3,1.18
2026-07-08,000561,7.1,7.0,7.15,6.96,87675,61602388.0,2.68,-1.27,-0.09,1.13
2026-07-09,000561,7.01,7.1,7.11,6.85,94838,66372627.0,3.71,1.43,0.1,1.22
2026-07-10,000561,7.07,7.58,7.81,6.95,398821,302215694.65,12.11,6.76,0.48,5.14
2026-07-13,000561,7.48,6.94,7.57,6.93,313475,223337304.28,8.44,-8.44,-0.64,4.04
2026-07-14,000561,6.88,6.87,6.91,6.64,162414,109876472.72,3.89,-1.01,-0.07,2.09
2026-07-15,000561,6.82,6.91,6.97,6.74,128525,88395006.92,3.35,0.58,0.04,1.66
2026-07-16,000561,6.82,7.0,7.03,6.73,67152,46434350.92,4.34,1.3,0.09,0.87
