code,name,price,pct_change,amount,main_net,main_pct,super_net,large_net,medium_net,small_net,period,updated_at
301377,鼎泰高科,465.92,-0.42,1194847385.12,53237168.0,4.46,14423296.0,38813872.0,-53237168.0,0.0,即时,2026-07-16 11:05:38
002281,光迅科技,217.4,1.13,5249542072.56,51778976.0,0.99,8886160.0,42892816.0,-100036816.0,48257840.0,即时,2026-07-16 11:05:37
002829,星网宇达,18.84,9.98,207162147.68,51645501.0,24.93,51491737.0,153764.0,-28646221.0,-22999280.0,即时,2026-07-16 11:05:37
301191,菲菱科思,116.69,1.85,672785654.01,50360249.0,7.49,15615221.0,34745028.0,-364914.0,-49995333.0,即时,2026-07-16 11:05:38
603728,鸣志电器,56.2,2.91,343268515.0,48897567.0,14.24,16231406.0,32666161.0,-24978776.0,-23918791.0,即时,2026-07-16 11:05:39
603083,剑桥科技,205.68,-1.16,2481406361.0,46954224.0,1.89,-43298208.0,90252432.0,947488.0,-47881152.0,即时,2026-07-16 11:05:39
002896,中大力德,72.34,2.06,379216399.59,46223816.0,12.19,20733587.0,25490229.0,-23316052.0,-22907764.0,即时,2026-07-16 11:05:37
002484,江海股份,83.21,-5.29,2635820016.0,43468160.0,1.65,-17008656.0,60476816.0,-123604672.0,80136528.0,即时,2026-07-16 11:05:37
002179,中航光电,34.62,-0.86,473755564.27,40125151.0,8.47,6403578.0,33721573.0,-15608093.0,-24517058.0,即时,2026-07-16 11:05:37
002402,和而泰,23.81,2.36,703094746.61,39140352.0,5.57,23750982.0,15389370.0,-7466747.0,-31673606.0,即时,2026-07-16 11:05:37
002929,润建股份,57.14,0.53,472573199.53,38318082.0,8.11,27015075.0,11303007.0,-11779025.0,-26539057.0,即时,2026-07-16 11:05:37
601689,拓普集团,55.1,1.1,977031958.0,37249405.0,3.81,31639677.0,5609728.0,-19589472.0,-17659930.0,即时,2026-07-16 11:05:39
300738,奥飞数据,20.19,2.44,598704809.86,35872338.0,5.99,26728734.0,9143604.0,-16144152.0,-19728187.0,即时,2026-07-16 11:05:38
002273,水晶光电,30.23,1.51,944751694.65,33409132.0,3.54,45297747.0,-11888615.0,-24935280.0,-8473840.0,即时,2026-07-16 11:05:37
300420,五洋自控,8.03,0.63,582964262.7,32681905.0,5.61,26011453.0,6670452.0,-11994478.0,-20687427.0,即时,2026-07-16 11:05:38
300493,润欣科技,13.53,8.67,303298740.8,32093643.0,10.58,8353496.0,23740147.0,-5222634.0,-26871010.0,即时,2026-07-16 11:05:38
002217,ST合力泰,1.55,6.9,296184877.5,31683329.0,10.7,2121402.0,29561927.0,-13984494.0,-17698835.0,即时,2026-07-16 11:05:37
600580,卧龙电驱,31.76,1.02,471293269.0,30714079.0,6.52,8036976.0,22677103.0,-27122827.0,-3591252.0,即时,2026-07-16 11:05:39
600536,中国软件,31.52,0.13,585918205.0,30686470.0,5.24,19850014.0,10836456.0,-40039588.0,9343661.0,即时,2026-07-16 11:05:39
300503,昊志机电,82.82,-1.26,826867256.27,29502584.0,3.57,1494731.0,28007853.0,-24142000.0,-5360594.0,即时,2026-07-16 11:05:38
300170,汉得信息,15.45,2.93,462589839.3,28041849.0,6.06,8998281.0,19043568.0,-8794330.0,-19247519.0,即时,2026-07-16 11:05:37
603859,能科科技,41.38,1.77,199216166.0,26004443.0,13.05,7648776.0,18355667.0,-11318321.0,-14686122.0,即时,2026-07-16 11:05:39
002049,紫光国微,73.0,1.05,2018704681.9,25684247.0,1.27,-50061001.0,75745248.0,-8408064.0,-17276176.0,即时,2026-07-16 11:05:36
300115,长盈精密,28.67,3.06,707614703.3,25573984.0,3.61,7400992.0,18172992.0,-6854761.0,-18719224.0,即时,2026-07-16 11:05:37
002920,德赛西威,84.45,1.85,345889922.49,25485258.0,7.37,11830597.0,13654661.0,-19601268.0,-5883991.0,即时,2026-07-16 11:05:37
300766,每日互动,21.49,4.57,508572916.66,25320624.0,4.98,6285978.0,19034646.0,-2263666.0,-23056958.0,即时,2026-07-16 11:05:38
600699,均胜电子,21.21,1.78,327217811.0,23599459.0,7.21,12657047.0,10942412.0,-13688926.0,-9910535.0,即时,2026-07-16 11:05:39
000158,常山北明,12.96,2.94,332558877.41,23513765.0,7.07,20269340.0,3244425.0,-4919884.0,-18593881.0,即时,2026-07-16 11:05:36
002745,木林森,11.95,0.0,698466472.81,22923805.0,3.28,3109112.0,19814693.0,-8276474.0,-14647332.0,即时,2026-07-16 11:05:37
600732,爱旭股份,12.43,-0.08,342188179.0,22743147.0,6.65,13221173.0,9521974.0,-17491618.0,-5251528.0,即时,2026-07-16 11:05:39
002845,同兴达,14.39,1.27,279344889.2,22531710.0,8.07,9425037.0,13106673.0,-10994460.0,-11537250.0,即时,2026-07-16 11:05:37
603160,汇顶科技,56.35,4.45,432776507.0,20722185.0,4.79,6838413.0,13883772.0,-5014977.0,-15707207.0,即时,2026-07-16 11:05:39
300680,隆盛科技,23.05,1.5,137330347.5,19792578.0,14.41,11678528.0,8114050.0,-11991791.0,-7800787.0,即时,2026-07-16 11:05:38
600797,浙大网新,6.55,3.8,140843849.0,19338987.0,13.73,17145709.0,2193278.0,-9113732.0,-10225255.0,即时,2026-07-16 11:05:39
301529,福赛科技,107.11,-1.12,166220049.01,19158275.0,11.53,-6015672.0,25173947.0,4973067.0,-24131343.0,即时,2026-07-16 11:05:39
