code,name,price,pct_change,amount,main_net,main_pct,super_net,large_net,medium_net,small_net,period,updated_at
300223,北京君正,149.26,7.1,8057068279.31,200218146.7408535,2.485,70076351.35929872,90098166.03338407,-50054536.68521337,-110119980.70746943,3日排行,2026-06-08 16:30:39
002463,沪电股份,137.0,2.84,15544516836.81,154512497.35789138,0.9939999999999999,54079374.07526198,69530623.81105113,-38628124.339472845,-84981873.54684027,3日排行,2026-06-08 16:30:39
002896,中大力德,95.2,9.72,3897644174.96,132597854.83213921,3.402,46409249.19124872,59669034.674462646,-33149463.708034802,-72928820.15767658,3日排行,2026-06-08 16:30:39
002747,埃斯顿,34.12,9.99,3679820423.01,128664921.09054466,3.4964999999999997,45032722.38169063,57899214.4907451,-32166230.272636164,-70765706.59979957,3日排行,2026-06-08 16:30:39
002938,鹏鼎控股,112.0,5.51,6243002663.06,120396306.3571121,1.9284999999999997,42138707.22498923,54178337.86070044,-30099076.589278024,-66217968.49641166,3日排行,2026-06-08 16:30:39
603186,华正新材,136.03,10.0,3267391662.0,114358708.17000002,3.5000000000000004,40025547.859500006,51461418.67650001,-28589677.042500004,-62897289.49350002,3日排行,2026-06-08 16:30:39
300503,昊志机电,87.01,6.41,3778822915.89,84777892.11799215,2.2435,29672262.24129725,38150051.453096464,-21194473.029498037,-46627840.66489568,3日排行,2026-06-08 16:30:39
301377,鼎泰高科,424.63,7.25,2715493943.62,68905658.81935748,2.5374999999999996,24116980.586775117,31007546.46871087,-17226414.70483937,-37898112.35064662,3日排行,2026-06-08 16:30:39
603859,能科科技,49.87,9.99,1917113653.0,67031878.877145,3.4965,23461157.60700075,30164345.49471525,-16757969.71928625,-36867533.382429756,3日排行,2026-06-08 16:30:39
002472,双环传动,45.03,5.06,3566684823.69,63165988.2275499,1.771,22108095.879642464,28424694.70239746,-15791497.056887476,-34741293.52515245,3日排行,2026-06-08 16:30:39
603773,沃格光电,136.5,3.1,5178221052.0,56183698.41419999,1.085,19664294.444969997,25282664.28639,-14045924.603549998,-30901034.127809998,3日排行,2026-06-08 16:30:39
300145,南方泵业,5.02,13.06,1102212960.69,50382154.4331399,4.571,17633754.051598962,22671969.494912956,-12595538.608284974,-27710184.938226946,3日排行,2026-06-08 16:30:39
301236,软通动力,43.53,4.14,3162112583.12,45819011.329408795,1.4489999999999998,16036653.965293078,20618555.098233957,-11454752.832352199,-25200456.231174838,3日排行,2026-06-08 16:30:39
301511,德福科技,123.08,3.0,4177692928.28,43865775.746939994,1.0499999999999998,15353021.511428997,19739599.086122997,-10966443.936734999,-24126176.660816997,3日排行,2026-06-08 16:30:39
300607,拓斯达,34.52,5.92,1987749726.94,41186174.3421968,2.072,14415161.019768879,18533778.45398856,-10296543.5855492,-22652395.88820824,3日排行,2026-06-08 16:30:39
603078,江化微,42.84,3.08,3066110652.0,33052672.828560002,1.078,11568435.489996,14873702.772852002,-8263168.207140001,-18178970.055708002,3日排行,2026-06-08 16:30:39
603662,柯力传感,69.9,5.53,1549894964.0,29998217.02822,1.9355,10499375.959877,13499197.662699,-7499554.257055,-16499019.365521003,3日排行,2026-06-08 16:30:39
603203,DR快克智,55.86,10.0,816606208.0,28581217.28,3.5000000000000004,10003426.048,12861547.776,-7145304.32,-15719669.504000003,3日排行,2026-06-08 16:30:39
300420,五洋自控,6.36,4.78,1510614897.26,25272587.2311598,1.6729999999999998,8845405.530905928,11372664.25402191,-6318146.80778995,-13899922.97713789,3日排行,2026-06-08 16:30:39
300334,津膜科技,9.94,10.32,666567208.89,24076407.5851068,3.612,8426742.65478738,10834383.413298061,-6019101.8962767,-13242024.171808742,3日排行,2026-06-08 16:30:39
300465,高伟达,15.53,8.68,749923736.09,22782683.1024142,3.038,7973939.085844968,10252207.39608639,-5695670.77560355,-12530475.70632781,3日排行,2026-06-08 16:30:39
002527,新时达,16.29,5.57,960733666.21,18729502.82276395,1.9494999999999998,6555325.987967382,8428276.270243777,-4682375.705690987,-10301226.552520173,3日排行,2026-06-08 16:30:39
000837,秦川机床,12.67,5.41,880896836.61,16679781.601210348,1.8934999999999997,5837923.560423622,7505901.720544657,-4169945.400302587,-9173879.880665692,3日排行,2026-06-08 16:30:39
002031,巨轮智能,6.85,2.7,1706199291.48,16123583.304485999,0.9450000000000001,5643254.156570099,7255612.4870187,-4030895.8261214998,-8867970.8174673,3日排行,2026-06-08 16:30:39
300496,中科创达,64.74,2.49,1648882033.75,14370006.92413125,0.8715,5029502.423445937,6466503.115859062,-3592501.7310328125,-7903503.8082721885,3日排行,2026-06-08 16:30:39
300212,*ST易录,11.63,7.69,520544100.11,14010444.454460653,2.6915000000000004,4903655.559061228,6304700.004507294,-3502611.113615163,-7705744.44995336,3日排行,2026-06-08 16:30:39
003021,兆威机电,107.98,3.14,1124694564.57,12360393.264624301,1.0990000000000002,4326137.642618505,5562176.969080936,-3090098.3161560753,-6798216.295543366,3日排行,2026-06-08 16:30:39
301171,易点天下,40.29,1.15,2776733690.64,11176353.104826,0.40249999999999997,3911723.5866890997,5029358.8971717,-2794088.2762065,-6146994.2076543,3日排行,2026-06-08 16:30:39
603728,鸣志电器,67.45,2.48,1254646652.0,10890332.939359998,0.8679999999999999,3811616.5287759993,4900649.8227119995,-2722583.2348399996,-5989683.116648,3日排行,2026-06-08 16:30:39
300024,机器人,15.9,2.12,1172174682.26,8697536.1423692,0.742,3044137.6498292196,3913891.2640661397,-2174384.0355923,-4783644.87830306,3日排行,2026-06-08 16:30:39
300378,鼎捷数智,37.21,3.71,668871750.21,8685299.676476851,1.2985000000000002,3039854.8867668975,3908384.854414583,-2171324.919119213,-4776914.822062269,3日排行,2026-06-08 16:30:39
603236,移远通信,58.3,1.69,1113896797.0,6588699.554254998,0.5914999999999998,2306044.8439892493,2964914.7994147493,-1647174.8885637496,-3623784.7548402497,3日排行,2026-06-08 16:30:39
002196,方正电机,14.0,2.34,785674282.92,6434672.377114798,0.8189999999999997,2252135.331990179,2895602.569701659,-1608668.0942786995,-3539069.8074131394,3日排行,2026-06-08 16:30:39
300556,丝路视觉,19.59,6.01,285740742.0,6010556.50797,2.1035,2103694.7777894996,2704750.4285864998,-1502639.1269925,-3305806.0793835,3日排行,2026-06-08 16:30:39
301529,福赛科技,119.5,3.02,552698639.34,5842024.6178238,1.057,2044708.6162383298,2628911.07802071,-1460506.15445595,-3213113.5398030905,3日排行,2026-06-08 16:30:39
003025,思进智能,15.65,5.32,292560483.15,5447476.196253,1.862,1906616.66868855,2451364.28831385,-1361869.04906325,-2996111.90793915,3日排行,2026-06-08 16:30:39
300660,江苏雷利,34.66,2.42,605833555.05,5131410.211273499,0.8469999999999999,1795993.5739457244,2309134.5950730746,-1282852.5528183747,-2822275.6162004247,3日排行,2026-06-08 16:30:39
300346,南大光电,57.19,0.28,5211799770.54,5107563.775129201,0.09800000000000002,1787647.3212952202,2298403.6988081406,-1276890.9437823002,-2809160.076321061,3日排行,2026-06-08 16:30:39
300608,思特奇,11.93,3.11,436315363.19,4749292.7283231495,1.0884999999999998,1662252.4549131023,2137181.7277454175,-1187323.1820807874,-2612111.0005777325,3日排行,2026-06-08 16:30:39
300552,万集科技,28.07,4.19,304271094.66,4462135.603188901,1.4665000000000004,1561747.4611161153,2007961.0214350056,-1115533.9007972253,-2454174.581753896,3日排行,2026-06-08 16:30:39
