code,name,price,pct_change,amount,main_net,main_pct,super_net,large_net,medium_net,small_net,period,updated_at
002976,瑞玛精密,33.53,5.11,278555958.94,13850518.0,4.97,13506288.0,344230.0,-7116074.0,-6734442.0,即时,2026-06-24 10:11:21
300782,卓胜微,111.52,-2.11,1265039084.38,13431408.0,1.06,-2423424.0,15854832.0,-36786080.0,23354685.0,即时,2026-06-24 10:11:21
300394,天孚通信,313.25,0.7,3745270896.25,12799216.0,0.34,-61166128.0,73965344.0,-15554976.0,2755776.0,即时,2026-06-24 10:11:21
002367,康力电梯,6.21,3.67,85887574.0,12563979.0,14.63,5288925.0,7275054.0,-1800233.0,-10763745.0,即时,2026-06-24 10:11:20
605133,嵘泰股份,36.75,-1.08,126236729.0,12077454.0,9.57,5612176.0,6465278.0,-2878648.0,-9198806.0,即时,2026-06-24 10:11:22
002833,弘亚数控,18.1,0.89,138487009.67,11318423.0,8.17,15688073.0,-4369650.0,2819022.0,-14137444.0,即时,2026-06-24 10:11:21
300227,光韵达,11.69,3.18,129486808.0,10351591.0,7.99,967378.0,9384213.0,2329031.0,-12680621.0,即时,2026-06-24 10:11:21
002815,崇达技术,17.95,0.96,435874962.43,9253013.0,2.12,8153767.0,1099246.0,-6887392.0,-2365620.0,即时,2026-06-24 10:11:21
603416,信捷电气,53.09,-1.59,45948114.0,9019391.0,19.63,8380897.0,638494.0,-5640865.0,-3378526.0,即时,2026-06-24 10:11:22
300378,鼎捷数智,37.42,1.46,124695750.42,8086664.0,6.49,6311490.0,1775174.0,-4134527.0,-3952137.0,即时,2026-06-24 10:11:21
002792,通宇通讯,35.49,1.43,242528596.0,7871870.0,3.25,3960322.0,3911548.0,-5376919.0,-2494951.0,即时,2026-06-24 10:11:21
301330,熵基科技,27.65,0.99,64493156.76,7717294.0,11.97,1643654.0,6073640.0,-98443.0,-7618851.0,即时,2026-06-24 10:11:21
300011,鼎汉技术,6.65,5.72,117016483.98,7319981.0,6.26,2362257.0,4957724.0,5978251.0,-13298233.0,即时,2026-06-24 10:11:21
301489,思泉新材,164.72,-0.44,782203059.46,6967057.0,0.89,14066541.0,-7099484.0,2678023.0,-9645080.0,即时,2026-06-24 10:11:21
300420,五洋自控,7.67,-1.67,631552403.48,6624791.0,1.05,10746790.0,-4121999.0,4721847.0,-11346638.0,即时,2026-06-24 10:11:21
300461,田中精机,41.08,-10.6,230888449.0,6624281.0,2.87,-12305256.0,18929537.0,-438857.0,-6185424.0,即时,2026-06-24 10:11:21
300836,佰奥智能,70.91,-1.29,35634861.0,5054964.0,14.19,5254277.0,-199313.0,-2820520.0,-2234443.0,即时,2026-06-24 10:11:21
603656,泰禾智能,17.99,-1.75,37683421.0,4768175.0,12.65,3915443.0,852732.0,-791033.0,-3977142.0,即时,2026-06-24 10:11:22
300007,汉威科技,37.76,-0.03,139701376.8,4737007.0,3.39,9938718.0,-5201711.0,-4706525.0,-30483.0,即时,2026-06-24 10:11:21
603236,移远通信,49.09,0.41,149142075.0,4425214.0,2.97,-2200789.0,6626003.0,-6929087.0,2508781.0,即时,2026-06-24 10:11:22
002444,巨星科技,29.08,0.14,67024619.38,4248841.0,6.34,4399711.0,-150870.0,2671625.0,-6920466.0,即时,2026-06-24 10:11:20
301165,锐捷网络,64.21,-0.23,181329837.06,3967038.0,2.19,6573715.0,-2606677.0,-822836.0,-3144203.0,即时,2026-06-24 10:11:21
002222,福晶科技,94.21,1.3,910979566.33,3755142.0,0.41,18252376.0,-14497234.0,-7764176.0,4009031.0,即时,2026-06-24 10:11:20
300509,新美星,8.78,-2.98,18033051.0,3681906.0,20.42,0.0,3681906.0,101216.0,-3783122.0,即时,2026-06-24 10:11:21
301499,维科精密,35.29,-0.4,54307603.0,3575342.0,6.58,2829161.0,746181.0,1263426.0,-4838768.0,即时,2026-06-24 10:11:21
603728,鸣志电器,61.35,3.25,282879572.0,3556329.0,1.26,11059480.0,-7503151.0,-2415747.0,-1128313.0,即时,2026-06-24 10:11:22
300730,科创信息,13.99,-2.3,55054695.0,3164615.0,5.75,1201522.0,1963093.0,-774982.0,-2389632.0,即时,2026-06-24 10:11:21
603703,盛洋科技,11.57,-1.28,41898919.0,3140630.0,7.5,1498075.0,1642555.0,406299.0,-3546928.0,即时,2026-06-24 10:11:22
603095,越剑智能,15.66,-3.33,30918369.0,3071856.0,9.94,234779.0,2837077.0,-698303.0,-2373553.0,即时,2026-06-24 10:11:22
300853,申昊科技,32.51,-2.23,110972368.0,2929911.0,2.64,824697.0,2105214.0,995893.0,-3925804.0,即时,2026-06-24 10:11:21
603160,汇顶科技,59.7,1.08,128943580.0,2588961.0,2.01,165430.0,2423531.0,691308.0,-3292214.0,即时,2026-06-24 10:11:22
301153,中科江南,17.41,-3.33,34635972.94,2412562.0,6.97,2507109.0,-94547.0,-920550.0,-1492012.0,即时,2026-06-24 10:11:21
002196,方正电机,13.74,-1.51,447202559.0,2365670.0,0.53,-13145815.0,15511485.0,11875391.0,-14241061.0,即时,2026-06-24 10:11:20
603118,共进股份,12.73,-0.31,105390444.0,2314447.0,2.2,4991948.0,-2677501.0,-3541059.0,1229158.0,即时,2026-06-24 10:11:22
300271,华宇软件,5.17,-3.18,22260280.0,2226581.0,10.0,1295000.0,931581.0,1239142.0,-3465723.0,即时,2026-06-24 10:11:21
605588,冠石科技,62.11,-0.34,49588454.0,2174622.0,4.39,-310110.0,2484732.0,-208882.0,-1965740.0,即时,2026-06-24 10:11:22
300097,智云股份,9.02,-1.1,39573630.0,2043888.0,5.16,225673.0,1818215.0,2564642.0,-4608530.0,即时,2026-06-24 10:11:21
301448,开创电气,47.35,2.93,65617612.0,2036531.0,3.1,-2481687.0,4518218.0,490195.0,-2526726.0,即时,2026-06-24 10:11:21
300354,东华测试,32.72,-2.09,31200729.0,1807646.0,5.79,1069064.0,738582.0,-274273.0,-1533373.0,即时,2026-06-24 10:11:21
300541,先进数通,10.13,-3.89,37601433.83,1561495.0,4.15,0.0,1561495.0,-1696965.0,135470.0,即时,2026-06-24 10:11:21
002698,博实股份,11.71,-1.84,57612973.5,1314521.0,2.28,-692630.0,2007151.0,-3972749.0,2658228.0,即时,2026-06-24 10:11:20
